"","year","month","mer","mtpr","mror","viwve","vilwe","viiwn"
"1",1979,1,-208106223.7,350117519.8,172023019,165247733.1,-35224.01706,-417673.0743
"2",1979,2,-205571782.1,364440421.2,169405153.7,168439907.4,283817.6912,-352891.0501
"3",1979,3,-190064744.4,527838352.7,267667858.9,354629100.1,650563.3148,-716445.9244
"4",1979,4,-182533031.1,465739543.2,311362838.5,278634383.4,154564.5855,-534623.2286
"5",1979,5,-170655573.9,391083749,239626580.6,210989576.4,-273105.8102,-245775.2785
"6",1979,6,-162269524.5,228253898,187260653.5,51013558.83,-733247.3068,121597.3036
"7",1979,7,-165643849.1,202805896,112202768.2,36250299.39,-867748.8888,-14794.45128
"8",1979,8,-181675606.9,222653815.3,71672367.48,56189679.03,-373261.9644,-109605.8421
"9",1979,9,-202086151.7,244035189.8,64712336.92,57486772.2,-889533.2457,-141728.8577
"10",1979,10,-209634874.7,313006113.9,80793635.67,123345986.4,79389.3764,-226925.6375
"11",1979,11,-210603233.6,362039757.3,105077469.8,152656797.3,204936.7432,-402656.837
"12",1979,12,-205393983.1,397864590.5,131071266.4,203055911.9,446885.355,-592971.4831
"13",1980,1,-207185116.7,384890147.3,163350780.6,189489835.4,289649.4531,-255225.0196
"14",1980,2,-211151909.4,345669047.6,174921309.9,136420916.8,131758.7699,-319789.4886
"15",1980,3,-189680334.2,511592241.7,242690901.1,344305679,379158.0196,-426024.8046
"16",1980,4,-192758358.6,395893003.4,227442056.3,208535328.6,-422690.0686,-352003.7733
"17",1980,5,-173552146.7,324188070.9,188713975.5,152782345,-133974.3118,-213631.4305
"18",1980,6,-162541608.8,259659336.7,159729092.2,84392946.24,-700496.9643,30322.08696
"19",1980,7,-168207148.1,207299106.2,104855099,45088994.21,-596992.5469,36604.74607
"20",1980,8,-188617321.2,226302280,77935448.05,50479706.18,-450863.9328,-113050.3261
"21",1980,9,-207877300.3,273126020.5,81553670.7,78181623.65,-175122.8854,-325578.5247
"22",1980,10,-210556130.1,373365965.3,108861147.2,183638546.5,100845.6481,-298233.6358
"23",1980,11,-206825092.6,380186642.5,124263045.2,187332943.8,178275.6685,-492591.1509
"24",1980,12,-208626838.7,375494463.4,140982744.6,170896332,153877.9099,-590560.9968
"25",1981,1,-200235841.3,439368200.7,207138992.8,240796491.5,256041.7984,-432418.3855
"26",1981,2,-193100065,564867964.2,305622476.9,377278716.4,398736.7609,-968225.2031
"27",1981,3,-197369281.7,476079560.6,322678850.6,262633020.8,532181.2028,-776536.7661
"28",1981,4,-179451491.2,500001055.2,306775557.2,307569895.7,322420.2748,-695436.6204
"29",1981,5,-170668734.7,360921594.2,244777584.7,182668344.6,-11952.19813,-218865.4068
"30",1981,6,-156880085.6,305861675.3,214217122.6,126993624.3,-835890.4854,-126480.6703
"31",1981,7,-166018970.8,177275822.6,123223665.1,2024155.236,-595891.7404,57019.4388
"32",1981,8,-183283026.2,232930882.2,71982694.25,59113054.94,-323870.2083,-270896.7759
"33",1981,9,-205939276.4,282848403.6,80176877.44,93167290.83,-119414.1306,-355934.6814
"34",1981,10,-215114290.4,308330357.3,86432940.42,115569462.8,-183909.2347,-491032.7333
"35",1981,11,-206896496.8,386281720,117119455.4,186875112.6,340591.3856,-544307.5554
"36",1981,12,-199626491.2,443106483.4,184585702.1,258505145.9,299841.967,-672595.0707
"37",1982,1,-196305069.8,467624242.8,241687752.1,287775779.2,662995.5067,-446546.128
"38",1982,2,-195001466.5,509985061.9,279962059,328056909.5,680408.8838,-902728.2214
"39",1982,3,-197067681.7,467390636.8,287327722.9,275032646.1,428305.481,-672609.8018
"40",1982,4,-178301804.6,485951964.8,301239546.2,313726739.3,482719.6093,-435041.9963
"41",1982,5,-168803505.6,345285247.3,240154038.8,174901703.4,-107348.5788,-134601.1947
"42",1982,6,-164469549.2,227466977.6,140283553.2,70201813.87,-884912.2261,-83727.07381
"43",1982,7,-167639197.1,238498885.8,110576283.9,75672374.33,-692083.8402,-65672.21695
"44",1982,8,-184236571.7,224651222.2,88748490.1,58449350.84,-495121.4282,-295073.559
"45",1982,9,-202419915.5,255521691.8,71894091.26,73863072.06,-594321.2136,-192459.0473
"46",1982,10,-212064726.4,284728933,74840157.71,89505910.54,-97378.54516,-198667.8445
"47",1982,11,-201709994.9,400217845.5,137432032.3,207976803.5,37526.78919,-311909.8683
"48",1982,12,-194364321.1,486076227.2,208919841.2,295574604.6,509255.741,-547343.4455
"49",1983,1,-213874659.4,358280875,187264542.4,162873773.1,468637.8052,-23162.7145
"50",1983,2,-206112815.2,435296408.8,207820660.6,233098506.3,73826.58486,-285858.073
"51",1983,3,-198189225.2,482368418.8,257264881.7,284832160.9,187171.7086,-604819.8289
"52",1983,4,-187493999.5,456585976,255325666.1,268520988.3,279990.046,-356730.5778
"53",1983,5,-179310938,340669211.6,200618426,163955920.8,-467268.7706,-261436.6614
"54",1983,6,-165314461.3,212630322.8,122100841.7,55572185.66,-1483780.105,131156.5794
"55",1983,7,-172830090.9,183497242.4,81042875.02,14853134.79,-1300829.784,49804.72414
"56",1983,8,-183946237.6,231396442.8,83507598.8,68566775.39,-276871.0095,7671.035224
"57",1983,9,-203190675.2,239309472,76909124.85,53678558.89,-389391.5852,-61442.81275
"58",1983,10,-207910073.3,348379716.4,94815239.72,155185799.3,-279894.0148,-546024.3773
"59",1983,11,-209666914.8,374705054.9,117427630.6,180317148.2,-233134.8195,-482412.1876
"60",1983,12,-196479978.6,471808262.3,193119699.8,275918015.6,633620.1357,-609234.2645
"61",1984,1,-192974596.9,505860390.9,262535164.5,311152562.5,794158.422,-670578.6055
"62",1984,2,-191857695.2,529492255.5,330425618.5,345733081.9,1090887.546,-588976.3469
"63",1984,3,-193749140.8,455314513,282189305.6,270830532.7,736453.6043,-531891.8752
"64",1984,4,-172390819.1,503626477.8,331792291.2,323113496.3,703361.0395,-528840.6133
"65",1984,5,-166481168.4,370330164.5,266258911.7,192664098.3,473503.5639,-103824.352
"66",1984,6,-159875953.3,311054407.3,207897515.5,139634420.4,-886293.8579,62392.98952
"67",1984,7,-166664028.4,225651126.4,128249710.6,52302259.77,-581041.4174,10838.2216
"68",1984,8,-181760535.1,225021356.1,99724044.3,48231341.36,-691700.188,-157208.1658
"69",1984,9,-199679844.6,294388081.1,88887038.02,112121252.2,-351490.7146,-244727.5119
"70",1984,10,-211010860.1,336838725.7,94924931.14,151895145.6,301687.467,-431611.793
"71",1984,11,-204673524.4,415970675,139644364.6,218034071.1,271304.8664,-477364.8203
"72",1984,12,-198954917.1,451624161.8,197949015,267267487.9,245029.5837,-611921.9963
"73",1985,1,-200892988.9,393854241.7,238366614.3,193900536.6,202074.108,-131861.4327
"74",1985,2,-202785475.4,418538664.4,212755642.2,227380308.2,246272.6328,-221741.2536
"75",1985,3,-197746263.1,434814958.4,233776141.9,247857426.6,295100.7017,-414470.6761
"76",1985,4,-181571615.8,428370061.6,233286422.6,247504304.4,530850.1953,-486364.5292
"77",1985,5,-162773365.6,431476529.2,277153265.2,261749262.7,368733.4071,-299172.7655
"78",1985,6,-160251936.6,308034276.6,224873122.1,128320244.7,-857475.8667,-261846.0119
"79",1985,7,-165286166.8,280291635.8,155940123.6,110978552.6,-793446.1224,-297321.6206
"80",1985,8,-181743403.3,261907297.6,115336634.7,79548809.97,-383190.9057,-96953.51998
"81",1985,9,-204087383,288051432.8,97421277.14,94715484.55,-61593.97385,-144091.4375
"82",1985,10,-214332987,324528430.9,98282863.84,126582527.5,59696.28462,-323317.0865
"83",1985,11,-205626053.1,428133369.7,146043044.2,222811599.6,81260.62023,-714438.2809
"84",1985,12,-199539280.8,429986727.9,209702793.4,228632024.7,328489.9788,-484687.4555
"85",1986,1,-190980435.9,487642144.5,274448050.8,294148123.8,896932.9236,-462695.2007
"86",1986,2,-191736855.6,556398079.4,332411154.9,367978743.2,1186949.323,-907007.0623
"87",1986,3,-188816467.5,531913294.4,352816274,339743708.6,782576.984,-954573.9302
"88",1986,4,-185983208.8,438795984.8,292210599.8,244561257.1,529131.3226,-370234.2551
"89",1986,5,-167965416,401652341.4,240454248.4,237321933.9,233049.0382,-436118.1847
"90",1986,6,-159136424.5,310949983.3,229795606,148288204.1,-507603.5278,78834.66675
"91",1986,7,-160067970.2,271088136.2,182543521,102055883.3,-1170799.764,-145423.0336
"92",1986,8,-184767952.6,229363140.8,83935471.84,64591503.01,-949614.0176,-243565.0855
"93",1986,9,-197488224.8,338976877.1,108415665.7,160857416.1,-411913.8602,-223853.1661
"94",1986,10,-207201563.6,354240940.3,150478432.7,156128665.3,-125527.6801,-214995.0567
"95",1986,11,-208830785,396026442.9,157755798.2,196872987.1,204455.9378,-505236.607
"96",1986,12,-207482974.6,421276673.2,189804441.6,230371768.9,220092.4643,-423645.1916
"97",1987,1,-197354562.3,474653198.6,253156149.4,292892744.1,719905.9521,-562667.3795
"98",1987,2,-199645657.8,485711973,280633269.5,295216275.5,301657.2446,-376052.4749
"99",1987,3,-207355033.8,394080779.8,219403626.8,185650923.7,229600.2697,-364678.7781
"100",1987,4,-182536007.2,513407615,288553773.6,330647710.5,607329.4497,-550118.7356
"101",1987,5,-173642753.9,318417429.6,223747257.8,136279602.8,-774022.3662,-143058.6545
"102",1987,6,-163550132.5,280855898.2,152103442.3,115317972.3,-960452.7739,-179148.1098
"103",1987,7,-170885017.9,221006952.7,116196865.7,47797189.11,-640544.0956,-47883.7367
"104",1987,8,-183875248,218033631,88982001.55,50234370.22,-483127.4829,-87456.38517
"105",1987,9,-203775011.4,300242586.4,92037347.82,112816691.6,-182876.9186,-135583.6319
"106",1987,10,-216974438.4,327475267.5,103319656.4,131583244.5,-192207.9198,-427380.3155
"107",1987,11,-211693051.4,420109285.4,138487869.8,217213949.2,201130.6634,-447034.3807
"108",1987,12,-201481076.7,457813742.7,190712769.1,271796465.9,72444.72227,-616353.9541
"109",1988,1,-197478832.9,478302748.8,252677011.8,284334834.6,438685.1725,-592181.7433
"110",1988,2,-196343385.7,525915666.5,333413794.5,332374394.5,290843.0738,-515868.9062
"111",1988,3,-202282399.1,428998490.7,252214574.6,232216429.3,68461.79662,-384788.4589
