"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
130005466.24,97182.16,-207091.35,24563413882.82,-12314653724.51,296.42
136312827.17,256682.44,-141221.03,24509761668.97,-12627275497.37,296.70
121695525.26,339344.94,-475299.25,24839492936.47,-13645392039.12,296.81
126417861.14,540120.10,-240249.90,25360048130.17,-13341927142.65,296.69
8195271.30,254813.04,2045.11,15031353797.39,-12664098083.92,296.65
-34028246.51,-44678.54,40075.78,9981706555.91,-10547773200.50,296.02
-34797731.93,-231251.86,106588.81,8288879304.04,-9619320272.61,296.05
26101042.74,-182672.17,105415.35,12691392091.03,-9996378891.78,296.65
20942058.12,-337492.81,-130289.05,14499821222.49,-11996112476.27,297.01
124865556.53,-65302.92,-488005.14,24083107494.13,-12682388561.56,296.75
149935996.68,199618.23,-356254.31,26942650487.99,-12908544427.94,296.16
94038361.51,11275.35,-104272.85,22225860471.17,-12659612274.17,296.12
52649864.02,-181789.41,-30372.02,17833423054.34,-12717047397.40,296.93
88220049.42,-262135.57,-235076.53,20140828378.09,-13005769370.24,297.28
97704126.53,118511.14,-185683.58,22349015426.29,-13880004214.41,297.21
88656945.17,312492.29,-130219.28,22294189557.79,-13708112209.40,296.94
10445275.68,125791.62,111989.95,14080373618.48,-12117944199.87,296.75
-40689969.72,-156323.38,134191.05,8148019340.51,-10387835310.46,296.46
11628250.99,-150873.95,197275.35,11671451610.42,-8812081167.00,295.96
29889562.49,-200692.22,27711.85,13030633191.43,-9743955266.02,296.64
87778654.02,-43886.76,-123362.94,19356613380.28,-11586022992.30,296.75
118055218.39,105486.62,-337151.19,24056707925.57,-12951012880.98,296.64
146038920.19,164622.44,-340962.33,26338090351.83,-12853045437.66,295.98
77391645.21,72059.39,-6442.03,20610624027.12,-12843508422.67,295.99
59786248.40,-204875.55,-102351.56,18441364750.53,-12565546721.72,296.41
31019134.08,-158958.43,169558.28,15916648445.12,-13243565583.10,297.27
152722922.90,383933.56,-382849.01,26100292900.31,-13384010694.41,296.90
34888758.94,129810.60,-81621.49,17573798490.18,-14083602037.17,297.17
1254214.26,-38361.26,-68776.78,13638178627.76,-12039351837.27,296.70
-41885248.43,-111825.50,-33410.70,9300432527.16,-10371302539.56,296.45
-7840308.67,-80186.83,120897.87,9997885897.19,-9288719458.34,295.80
45096637.65,-154595.13,113146.56,14163317576.95,-9932703365.86,296.40
80421694.54,4630.26,-126991.60,18970568418.77,-11681187200.38,296.54
133051083.41,189258.98,-350728.01,25541720290.31,-12626646940.55,296.46
78924676.33,-136764.59,-244826.65,21218780873.98,-13149376566.70,296.40
85554154.37,-41980.24,-59163.84,20784232123.50,-12688787798.05,296.50
81814920.20,-29065.13,54085.32,20138428225.03,-12694060612.98,296.51
49464373.65,9432.53,30823.92,17647618814.70,-13516445048.83,296.98
76077914.98,54696.82,-460405.34,21188157960.31,-14271093736.98,297.21
85186181.98,254296.83,-148588.20,20875468273.80,-13793079381.38,297.00
45237243.06,142036.19,-155107.84,17759261818.92,-12480521901.79,296.56
-25243657.10,-113075.71,-36747.09,10538889584.36,-10570070128.00,296.37
-26892201.28,-178272.42,63417.75,9215849314.69,-9538059245.14,295.95
35604147.84,-104677.38,21990.86,13755069716.34,-9871080673.03,296.42
93275157.30,-83934.09,-63892.59,20167272374.84,-11354623594.73,296.65
162262785.28,332324.09,-430990.35,27149999106.59,-12349038059.41,296.02
133101230.18,189820.00,-116853.39,24972284914.93,-12950002108.64,296.01
52935794.97,-176977.77,-68005.37,18149734730.35,-12408426206.25,296.38
-3691211.53,87781.29,222263.07,13955210954.60,-12437766877.49,297.18
39141720.50,-190778.27,93943.36,15905410622.45,-12647007458.15,298.31
82330863.63,12386.16,-248347.23,19850888090.38,-13258534917.87,298.33
49405243.57,73855.40,-370265.63,18761315594.86,-14251121470.95,297.78
-7353928.08,6916.95,-62948.43,12859869730.20,-12756336996.92,297.72
-19706826.41,-213140.06,52759.49,10524688390.54,-10611636913.08,296.82
-8307269.59,-147245.94,83679.20,9843240192.70,-9596621835.62,296.50
19245614.06,-89358.05,89447.54,12758245086.28,-9935532284.63,296.53
36900592.32,-289522.98,-87684.24,15112396943.43,-11405150880.35,297.16
130671474.20,4500.50,-286588.68,24577373237.58,-12609038935.51,296.38
123726399.05,30722.71,-317219.52,24327552007.67,-12992224068.63,296.29
64986666.29,6185.74,85862.19,19710753325.75,-12900935960.77,295.85
32559248.09,13441.12,90621.88,16736206182.92,-12404735292.14,295.90
57959117.66,-41354.10,196851.72,17765787545.31,-13277877293.92,296.95
86105022.25,291304.97,-327929.47,21886230447.27,-14213566291.00,296.99
45182996.76,369457.55,-169931.04,18901085793.82,-14136792952.44,296.89
-23301925.43,-38348.45,-52684.10,11650185457.82,-12545356146.13,296.76
-34284412.34,-116686.91,48597.73,7862947369.90,-10350687721.39,296.38
-1168135.07,-165110.41,70501.67,10212295781.40,-9176449493.68,296.00
32055359.03,-126771.08,56320.66,13059599214.24,-9766676026.58,296.66
58410075.03,-164213.11,-54972.06,17123703284.31,-11395483777.00,296.57
113928544.84,51968.33,-324255.86,23199379597.47,-12888717817.02,296.59
154117722.46,319611.36,-492766.43,26938548141.33,-12760746402.18,295.82
89649161.27,-74891.22,-105979.36,20758983238.95,-12538804703.07,296.01
68316282.61,-193641.89,26820.44,19001518288.67,-12825949154.87,296.64
29284945.42,-85206.49,294033.43,15787676873.88,-12691312795.10,296.63
112349984.06,332198.52,-192055.46,22131468824.22,-12989592659.64,297.34
106690301.91,492281.22,-489824.23,23648082203.95,-13264045409.97,296.26
28398091.24,223347.41,-114769.93,16157812593.77,-12401912107.34,296.32
-40239413.59,-80995.69,177135.15,8424888971.28,-10265547084.46,295.92
-9800393.26,-174111.77,-16779.44,10289255249.16,-9235074634.75,295.60
32383939.70,-78740.70,-26877.88,12586381231.11,-9686043693.36,296.27
96229351.60,20869.32,-157121.16,19600898341.71,-11137463927.88,296.29
143201224.39,161279.16,-404800.29,25675958951.98,-12126976369.39,296.34
137030846.80,164609.15,-600400.12,25163778376.51,-13154572057.85,296.05
89059711.28,-54577.51,-106472.24,21392210107.16,-12748001212.34,296.18
58360204.89,-40005.35,141307.24,17599677478.60,-12394450864.46,296.59
95586225.50,165214.98,-162083.37,21036010219.11,-13304175836.67,296.87
139360446.24,422795.69,-471988.89,25548689432.72,-13698917238.53,296.40
69244479.80,403164.12,-354777.89,20610628086.08,-14004876015.35,296.99
4970831.81,182298.69,-132494.88,14057748851.42,-12877434699.40,297.08
-35794117.13,-82814.55,62119.36,9530021167.50,-10704966713.88,296.11
5989501.51,-40889.22,281805.54,10687307777.48,-9146540951.79,295.80
8476213.26,-374636.59,-25827.12,12191405798.60,-10317907188.43,296.83
92665637.96,35514.98,-102457.35,20165999443.48,-11597226717.13,296.70
185172454.00,292628.57,-508338.28,29659200980.92,-12637894021.56,296.27
