"","V1","V2","V3","V4","V5"
"1",1979,1,142600,154977.419354839,165400
"2",1979,2,166000,168835.714285714,174300
"3",1979,3,175300,184080.64516129,198200
"4",1979,4,200200,214736.666666667,231500
"5",1979,5,232700,240419.35483871,247800
"6",1979,6,237500,243726.666666667,248000
"7",1979,7,203100,221574.193548387,236900
"8",1979,8,152700,177245.161290323,201400
"9",1979,9,111800,131480,151100
"10",1979,10,91720,98592.9032258065,110500
"11",1979,11,94990,97644.6666666667,100900
"12",1979,12,96920,104636.451612903,115100
"13",1980,1,116600,128454.838709677,138200
"14",1980,2,138700,143407.142857143,148200
"15",1980,3,147200,151274.193548387,156100
"16",1980,4,157000,169153.333333333,180100
"17",1980,5,180400,183480.64516129,186100
"18",1980,6,185600,187793.333333333,190100
"19",1980,7,167700,178316.129032258,185600
"20",1980,8,135900,151225.806451613,167100
"21",1980,9,99580,114682.666666667,134400
"22",1980,10,92540,95837.4193548387,100300
"23",1980,11,98790,108810.666666667,117800
"24",1980,12,115000,119770.967741935,123900
"25",1981,1,123600,131051.612903226,140600
"26",1981,2,141400,150642.857142857,157400
"27",1981,3,157400,169693.548387097,182800
"28",1981,4,184300,195400,200100
"29",1981,5,200100,203061.290322581,205500
"30",1981,6,196800,200246.666666667,203000
"31",1981,7,182800,191819.35483871,197400
"32",1981,8,153900,169619.35483871,182700
"33",1981,9,112600,132213.333333333,153100
"34",1981,10,91350,97968.3870967742,111600
"35",1981,11,89230,92827.6666666667,96220
"36",1981,12,95170,104218.064516129,118000
"37",1982,1,119000,140806.451612903,162300
"38",1982,2,163600,178389.285714286,191500
"39",1982,3,193200,205306.451612903,215900
"40",1982,4,216600,230433.333333333,247000
"41",1982,5,248400,257180.64516129,261400
"42",1982,6,250100,256933.333333333,261200
"43",1982,7,220300,235919.35483871,249200
"44",1982,8,174300,197393.548387097,218600
"45",1982,9,132700,153770,172700
"46",1982,10,100900,114693.548387097,131400
"47",1982,11,101000,103240,107100
"48",1982,12,108600,120129.032258065,132000
"49",1983,1,133300,142054.838709677,150200
"50",1983,2,150800,154707.142857143,158200
"51",1983,3,157500,160141.935483871,168400
"52",1983,4,169700,178323.333333333,186200
"53",1983,5,185400,189200,193800
"54",1983,6,184800,190823.333333333,193600
"55",1983,7,158200,172274.193548387,184200
"56",1983,8,114800,135822.580645161,157000
"57",1983,9,98070,104078.666666667,113100
"58",1983,10,86740,92427.7419354839,99170
"59",1983,11,87240,94511.6666666667,101400
"60",1983,12,101900,109890.322580645,121600
"61",1984,1,122600,136819.35483871,149500
"62",1984,2,150100,159928.571428571,171200
"63",1984,3,173600,190122.580645161,203200
"64",1984,4,204800,217460,231900
"65",1984,5,232900,240893.548387097,244700
"66",1984,6,228200,236543.333333333,242800
"67",1984,7,210300,220977.419354839,228200
"68",1984,8,173700,191838.709677419,209600
"69",1984,9,140000,155043.333333333,172800
"70",1984,10,110300,121512.903225806,138100
"71",1984,11,108200,112716.666666667,117100
"72",1984,12,113900,121348.387096774,132200
"73",1985,1,132800,150577.419354839,170500
"74",1985,2,171600,178257.142857143,181000
"75",1985,3,176500,180674.193548387,184400
"76",1985,4,182700,184190,186200
"77",1985,5,184700,197303.225806452,204700
"78",1985,6,200100,202766.666666667,204800
"79",1985,7,183000,192090.322580645,199800
"80",1985,8,160400,170712.903225806,182700
"81",1985,9,136500,148716.666666667,160000
"82",1985,10,117200,123980.64516129,135800
"83",1985,11,115600,117106.666666667,120000
"84",1985,12,116100,129080.64516129,142600
"85",1986,1,143300,149561.290322581,153900
"86",1986,2,154500,163400,173800
"87",1986,3,175200,190141.935483871,206500
"88",1986,4,208400,218883.333333333,230500
"89",1986,5,231200,234745.161290323,238100
"90",1986,6,233200,234100,235200
"91",1986,7,223800,230322.580645161,233100
"92",1986,8,185300,206677.419354839,222900
"93",1986,9,141100,162666.666666667,183100
"94",1986,10,129900,132767.741935484,140200
"95",1986,11,131600,135853.333333333,139000
"96",1986,12,139800,145445.161290323,150300
"97",1987,1,151000,157861.290322581,164900
"98",1987,2,165600,172485.714285714,183000
"99",1987,3,184200,196703.225806452,209600
"100",1987,4,209900,216813.333333333,226200
"101",1987,5,227400,230267.741935484,231900
"102",1987,6,215400,222683.333333333,228500
"103",1987,7,185000,200851.612903226,214600
"104",1987,8,148800,165977.419354839,184600
"105",1987,9,112000,129573.333333333,146800
"106",1987,10,93910,100486.451612903,110600
"107",1987,11,93520,96728.6666666667,101400
"108",1987,12,101100,111096.774193548,122600
"109",1988,1,123100,135522.580645161,148400
"110",1988,2,149200,160946.428571429,175100
"111",1988,3,177300,191500,2e+05
"112",1988,4,199500,205110,209700
"113",1988,5,211400,223903.225806452,228600
"114",1988,6,226800,228936.666666667,230800
"115",1988,7,204400,216912.903225806,226700
"116",1988,8,164900,184906.451612903,203800
"117",1988,9,112200,136590,163500
