hybam,hybam,hybam,hybam,hybam,hybam,grdc,grdc,grdc,grdc,grdc,,,,,
id_station,nom,date,valeur,origine,qualite,YYYY-MM-DD,hh:mm, Original, Calculated, Flag,DATE,,ERROR,,
 , , ,(m3/s), , ,1968-01-01,--:--,-999,"110741,9",100,,,,,
17050001,Obidos,16/02/1968 00:00,,,,1968-02-01,--:--,-999,#N/A,28,16/02/1968 00:00,#VALUE!,,,
17050001,Obidos,16/03/1968 00:00,"155400,0",L,,1968-03-01,--:--,-999,"154785,1",100,16/03/1968 00:00,"614,9","0,40%",,
17050001,Obidos,16/04/1968 00:00,"174900,0",L,,1968-04-01,--:--,-999,"173914,0",100,16/04/1968 00:00,"986,0","0,56%",,
17050001,Obidos,16/05/1968 00:00,"205200,0",L,,1968-05-01,--:--,-999,"197792,4",100,16/05/1968 00:00,"7407,6","3,61%",,
17050001,Obidos,16/06/1968 00:00,"203800,0",L,,1968-06-01,--:--,-999,"196796,3",100,16/06/1968 00:00,"7003,7","3,44%",,
17050001,Obidos,16/07/1968 00:00,"181100,0",L,,1968-07-01,--:--,-999,"179328,5",100,16/07/1968 00:00,"1771,5","0,98%",,
17050001,Obidos,16/08/1968 00:00,"158200,0",L,,1968-08-01,--:--,-999,"157694,3",100,16/08/1968 00:00,"505,7","0,32%",,
17050001,Obidos,16/09/1968 00:00,"140400,0",L,,1968-09-01,--:--,-999,"138373,5",100,16/09/1968 00:00,"2026,5","1,44%",,
17050001,Obidos,16/10/1968 00:00,"129900,0",L,,1968-10-01,--:--,-999,"126982,7",100,16/10/1968 00:00,"2917,3","2,25%",,
17050001,Obidos,16/11/1968 00:00,"120700,0",L,,1968-11-01,--:--,-999,"117262,2",100,16/11/1968 00:00,"3437,8","2,85%",,
17050001,Obidos,16/12/1968 00:00,"121400,0",L,,1968-12-01,--:--,-999,"118056,3",100,16/12/1968 00:00,"3343,7","2,75%",,
17050001,Obidos,16/01/1969 00:00,"136600,0",L,,1969-01-01,--:--,-999,#N/A,0,16/01/1969 00:00,#VALUE!,,,
17050001,Obidos,16/02/1969 00:00,"149400,0",L,,1969-02-01,--:--,-999,#N/A,0,16/02/1969 00:00,#VALUE!,,,
17050001,Obidos,16/03/1969 00:00,"164900,0",L,,1969-03-01,--:--,-999,#N/A,0,16/03/1969 00:00,#VALUE!,,,
17050001,Obidos,16/04/1969 00:00,"193300,0",L,,1969-04-01,--:--,-999,#N/A,0,16/04/1969 00:00,#VALUE!,,,
17050001,Obidos,16/05/1969 00:00,"218600,0",L,,1969-05-01,--:--,-999,#N/A,0,16/05/1969 00:00,#VALUE!,,,
17050001,Obidos,16/06/1969 00:00,"207900,0",L,,1969-06-01,--:--,-999,#N/A,0,16/06/1969 00:00,#VALUE!,,,
17050001,Obidos,16/07/1969 00:00,"186500,0",L,,1969-07-01,--:--,-999,#N/A,0,16/07/1969 00:00,#VALUE!,,,
17050001,Obidos,16/08/1969 00:00,"158000,0",L,,1969-08-01,--:--,-999,#N/A,0,16/08/1969 00:00,#VALUE!,,,
17050001,Obidos,16/09/1969 00:00,"129300,0",L,,1969-09-01,--:--,-999,#N/A,0,16/09/1969 00:00,#VALUE!,,,
17050001,Obidos,16/10/1969 00:00,"102000,0",L,,1969-10-01,--:--,-999,#N/A,0,16/10/1969 00:00,#VALUE!,,,
17050001,Obidos,16/11/1969 00:00,"93060,0",L,,1969-11-01,--:--,-999,#N/A,0,16/11/1969 00:00,#VALUE!,,,
17050001,Obidos,16/12/1969 00:00,"95770,0",L,,1969-12-01,--:--,-999,#N/A,0,16/12/1969 00:00,#VALUE!,,,
17050001,Obidos,16/01/1970 00:00,"114800,0",L,,1970-01-01,--:--,-999,"111497,7",100,16/01/1970 00:00,"3302,3","2,88%",,
17050001,Obidos,16/02/1970 00:00,"141000,0",L,,1970-02-01,--:--,-999,"139064,7",100,16/02/1970 00:00,"1935,3","1,37%",,
