"VAPOR_WATER_FLUX_KG/S","CLOUD_LIQUID_WATER_FLUX_KG/S","CLOUD_FROZEN_WATER_FLUX_KG/S","PRECIPITATION_KG/S","EVAPORATION_KG/S","2M_TEMPERATURE_K"
-9076102.70,-30322.68,-167426.79,4187714798.06,-3921930925.74,295.15
30319639.64,2346.95,-70658.34,6110883275.38,-4127993456.15,297.61
4805155.37,-145543.19,-202576.22,4804722913.73,-4095886896.66,298.85
72104924.20,-75105.68,-353366.17,8841873253.50,-4725966953.85,301.19
63320890.23,57995.05,-471671.25,11409889607.83,-6367222588.66,300.59
52868731.63,-41193.84,-312849.98,10631662272.11,-6306654365.59,300.44
47053317.64,-33410.40,-417923.49,11121331894.48,-6987854085.57,299.54
57298341.09,-64149.94,-372492.96,13066039780.59,-7611608178.16,299.33
28108240.11,-51428.52,-246985.87,10806730174.28,-7706086576.14,299.76
28518228.97,-89926.64,-161234.07,8465446928.36,-6458245431.88,299.52
-10710012.01,-139700.55,-122928.77,5206436402.43,-5159537444.62,298.13
-8574280.75,170460.17,-81963.20,3474449789.81,-3820994959.64,294.34
-24004988.52,-46457.67,65908.13,1653760037.62,-3242835205.93,295.50
-15501736.38,-158602.47,-133448.64,1805627340.22,-3141856764.97,296.98
21832849.76,-114139.24,-101767.61,4712456396.32,-3918197532.87,299.49
39340961.03,-157392.78,-322741.28,7825408736.15,-4833825012.02,300.79
82908716.41,-111181.79,-353909.47,11709987098.45,-6044058948.03,301.00
55804822.06,-122763.88,-370814.20,10574318120.30,-6459367344.51,300.27
55725316.25,-31166.48,-477622.46,13228363797.16,-7360778884.51,298.99
42040864.40,-31201.49,-339385.58,12179196987.95,-7391724919.46,299.12
30449342.67,-38666.73,-197373.17,10091262503.86,-7222210437.06,299.41
6057772.78,-139940.29,-140933.80,7855730307.35,-6677404500.75,299.24
-780771.42,44450.42,-66951.08,5767435394.90,-5135467882.65,297.17
-34222948.77,-23116.45,-21661.65,1817367012.55,-3971375320.80,295.75
-24974141.84,-90917.15,-40648.84,1374331280.54,-3319242064.35,295.27
-17132690.88,-178845.44,-42761.95,1529075615.75,-2932833350.15,296.67
33390147.40,-174120.32,-139663.66,6843265425.33,-3619203837.01,298.82
27772579.49,-117265.01,-148173.54,5923131069.06,-4269940635.93,300.40
46700835.36,-85947.86,-120883.97,8765280309.53,-5752940314.15,300.94
43452058.75,-165298.21,-261743.50,8580333573.93,-5844047201.82,300.82
82097539.30,2642.80,-457142.23,13965770859.39,-6896634597.28,299.12
63848919.69,-19716.78,-350733.38,13308654406.22,-7308486704.25,299.40
32280359.40,-56447.01,-265657.01,11701739787.16,-7604856778.90,298.90
16331316.51,-75981.85,-147751.28,8130681668.36,-6700603810.75,299.35
-20290347.62,59877.55,7045.39,4130979091.50,-5029613021.73,296.43
-16594067.92,-53188.69,26491.44,2237024823.06,-3517963125.44,296.54
-9855544.18,-133276.82,-30459.60,2549453534.87,-3217784862.44,296.50
-5248226.70,-103601.80,-123108.71,2255385607.13,-3207027299.75,295.56
-15673295.00,-221558.33,-234791.61,3869262437.25,-3726575568.91,298.69
47371072.32,-102617.68,-445419.12,6880963298.92,-4066894826.99,300.53
50277673.36,32581.82,-291517.10,10032776101.27,-5634364294.88,300.34
33932906.93,-216288.75,-152986.33,7963789396.18,-5791485403.56,300.44
49993052.76,-150083.05,-238335.66,10475311236.35,-6392565490.47,299.43
42787137.09,-103925.51,-225691.67,11638751316.77,-7289570681.23,299.01
33621601.15,-45858.83,-221069.35,10491567160.66,-7354419897.79,299.17
36966576.58,77347.55,-228585.77,10854208993.65,-6858593044.73,298.04
-9354459.50,175941.72,-52568.98,5726920205.88,-5198127435.83,295.49
-32296822.66,118481.80,-17941.37,2216071287.06,-3878939832.68,294.57
-11602493.13,57192.38,-61734.34,1499067761.45,-2917335500.80,292.74
-27538923.53,-162031.80,-54554.89,1697191922.56,-2846800850.40,296.47
8917023.75,-164328.14,-188393.06,3134614383.58,-2867147662.59,298.18
25158587.19,-8535.08,-203081.48,5815920855.29,-4013137293.35,300.34
61190007.22,67226.53,-240332.14,8551168166.25,-5028317375.20,301.48
61556184.62,-142120.03,-280034.44,10543387588.14,-5934621124.68,300.72
56274813.10,-165084.94,-233872.40,10958016946.75,-6488839777.50,300.09
79194489.40,-102943.96,-127285.53,14358671526.29,-6905985535.41,299.17
35833408.40,-76378.53,-198268.05,10617250581.38,-7275399829.80,299.26
27773366.04,-73221.57,-174109.21,9388149306.51,-6069452932.02,298.49
-5046998.10,-76283.09,-5565.13,4913103548.23,-4954425180.87,297.33
-26563337.10,-26259.42,26699.37,2491014742.33,-3764334187.96,295.74
-26955653.37,6993.91,31899.73,1384650251.66,-3103320143.82,294.32
-17987277.32,-152119.82,-102548.36,1486929647.80,-3017685218.49,297.73
5997947.34,-257936.27,-202749.84,3732736863.33,-3420103937.48,300.02
33968487.56,-51393.99,-179314.38,6419372827.13,-4076054022.97,300.76
26179722.63,-214589.16,-231623.65,7182155598.83,-5261405258.40,301.12
31756252.77,-137051.51,-231016.44,7943485362.96,-5462169289.58,299.80
61125504.80,-62448.73,-389810.63,12436018862.33,-6418957661.56,298.88
56343907.17,-49078.01,-362649.50,12222528172.01,-6914884773.75,298.98
24890591.23,-40455.44,-175607.94,9870190955.97,-7192795126.23,299.16
-10031536.02,-153287.54,-45487.18,6016368122.23,-6163638815.85,299.25
4555392.92,84140.59,-186932.98,5516577942.57,-4385010265.62,296.62
-12602131.02,32042.73,-27063.91,2617445996.22,-3391099086.83,295.55
-19829990.80,-137999.44,-111521.51,2031169738.80,-2726440699.83,297.38
-9066711.74,99423.53,86958.40,2214344154.32,-2602780884.78,295.46
43135583.08,17830.14,-202523.70,5986536906.49,-3315337232.35,299.65
55363414.73,75732.33,-402487.94,10584272528.75,-4988808805.74,299.27
57650223.70,-61879.08,-479246.91,11183832873.67,-6162816655.74,300.16
57976758.26,-98713.44,-363119.37,12017243012.42,-6672479763.40,299.42
75849006.80,-5917.49,-223025.38,14052095409.84,-6790075598.95,298.08
54900091.93,-13944.78,-295157.50,12534813438.17,-7168951541.99,298.61
49055985.04,17034.14,-211609.11,12856194545.59,-7607936484.28,298.41
5778143.28,-34209.09,31473.68,7623795486.41,-6815541193.47,298.37
-8541825.19,-18922.08,-107317.38,5622388502.33,-5474133060.17,297.03
-18833411.36,2762.69,-54470.34,2824555765.52,-3878161044.22,295.74
-23692688.07,-31368.40,31788.54,1592004819.17,-3127613797.33,295.67
11648285.40,-153208.83,-159652.50,3610643073.13,-3312398657.97,297.66
39031715.70,-67015.77,-202231.56,6246827759.54,-4056941379.46,299.27
36384784.99,-46554.28,-477457.01,8059709675.93,-4544757290.88,299.93
32474968.68,-59188.81,-159842.05,6562927488.04,-4642135708.55,300.79
71805461.07,-115729.55,-216398.73,11182051432.43,-5946498449.61,299.82
70109168.42,-84811.44,-394350.20,13440079786.36,-6784197268.64,298.77
20745407.59,-94394.55,-216006.25,9936206321.38,-7310384535.28,299.42
53681028.35,-46689.36,-229881.80,12486553983.46,-7667075795.30,299.05
18193179.02,-132604.75,-147644.58,9107266578.01,-6898156367.18,298.76
