date,water_vap,water_liq,water_ice,prec,evap,temp_2m,dew_2m,lai_lv,lai_hv,discharge
1979-01-01,164914418.27723455,-31505.250743710203,-415274.8211381789,352526674.79568166,-207983141.61596507,297.3383240723597,294.394679826623,1.1329652625762003,4.644194651867704,154457.742
1979-02-01,167976708.10433283,287063.29363222106,-349791.9407669791,363747013.8956579,-205366595.9649137,297.4180677073529,294.3651144841832,1.1346545708588138,4.585945896687023,168767.933
1979-03-01,354004966.1031139,658490.2063388784,-712085.0673857166,527191187.47897637,-189863156.58527783,296.8136094626819,294.6951534378886,1.1374688801433015,4.551174711141709,181792.971
1979-04-01,277965183.3889018,156146.0534623406,-529287.1886351556,464923452.1099117,-182333755.83825842,296.47792584154024,294.19575262838936,1.14277541092174,4.6048900163778175,204447.827
1979-05-01,210616588.51247832,-268475.51211606443,-242763.54172233283,390675692.57870543,-170487552.24730927,296.33215640206305,294.09595027732104,1.1410978559575666,4.685921743542369,221537.347
1979-06-01,50825363.89178085,-726633.4078849357,123888.68433379974,227442836.32473558,-162026042.48105234,295.1670926073187,291.91142479673675,1.142989449580216,4.961648313897608,223647.758
1979-07-01,36388383.026853114,-866170.4394932741,-13652.252719719734,202679254.53614837,-165410241.1280738,295.81699801253586,292.361991619116,1.1478594919575724,5.294232525109317,209061.412
1979-08-01,56163220.15613121,-374628.53590172296,-107858.52774187131,222317520.60705552,-181443365.7230272,296.9663883154751,293.49596018348933,1.1525283836279427,5.585907376558236,175272.098
1979-09-01,57521984.438423604,-886724.1329802958,-140120.3299136452,243920622.14088973,-201823841.39614564,296.7798325455063,293.4451456257862,1.1563503087255185,5.648177379075957,128831.021
1979-10-01,123274796.97745703,80912.96479128429,-226601.34586302988,312689235.0830681,-209381154.11153585,297.5674241528785,294.48260934413076,1.1544005281601617,5.360792068214557,95489.065
1979-11-01,152603047.6114232,206651.16682055467,-401381.6686885877,361653493.8987576,-210355176.31785226,297.36235630784813,294.5658492840096,1.1496579223404564,5.09842135734791,94654.883
1979-12-01,202909585.20087266,449073.620705222,-591119.7406345103,397876851.21860504,-205178126.73379865,297.091801197343,294.52221672153104,1.1340195710058831,4.715264563845836,101435.513
1980-01-01,189140203.88324213,293879.60301923496,-253156.79913468176,383938576.987347,-206942804.10967213,297.1893497470465,294.464860089849,1.1329652625762003,4.644194651867704,125546.718
1980-02-01,136305102.87362853,133666.1845482632,-319249.42094322346,345431617.4069035,-210910902.19957837,297.90598535361914,294.3219172240624,1.134678299489117,4.585241791957943,141886.432
