Date,Calculated
1968-01-01,"110741,935"
1968-02-01,-999
1968-03-01,"154785,073"
1968-04-01,"173914,036"
1968-05-01,"197792,407"
1968-06-01,"196796,255"
1968-07-01,"179328,531"
1968-08-01,"157694,276"
1968-09-01,"138373,453"
1968-10-01,"126982,707"
1968-11-01,"117262,206"
1968-12-01,"118056,304"
1969-01-01,-999
1969-02-01,-999
1969-03-01,-999
1969-04-01,-999
1969-05-01,-999
1969-06-01,-999
1969-07-01,-999
1969-08-01,-999
1969-09-01,-999
1969-10-01,-999
1969-11-01,-999
1969-12-01,-999
1970-01-01,"111497,731"
1970-02-01,"139064,71"
1970-03-01,"171539,844"
1970-04-01,"196309,097"
1970-05-01,"213704,512"
1970-06-01,"213748,01"
1970-07-01,"205370,79"
1970-08-01,"187348,589"
1970-09-01,"155242,73"
1970-10-01,"121119,188"
1970-11-01,"97499,632"
1970-12-01,"94948,094"
1971-01-01,"113225,386"
1971-02-01,"151856,424"
1971-03-01,"183793,779"
1971-04-01,"211922,815"
1971-05-01,"225843,717"
1971-06-01,"229665,323"
1971-07-01,"222508,624"
1971-08-01,"204313,854"
1971-09-01,"175032,309"
1971-10-01,"137589,494"
1971-11-01,"122611,59"
1971-12-01,"128677,912"
1972-01-01,"132154,451"
1972-02-01,"167595,873"
1972-03-01,"196814,525"
1972-04-01,"210609,379"
1972-05-01,"223108,147"
1972-06-01,"223495,292"
1972-07-01,"213668,094"
1972-08-01,"193345,626"
1972-09-01,"166340,168"
1972-10-01,"134821,492"
1972-11-01,"111012,252"
1972-12-01,"118047,13"
1973-01-01,"137766,307"
1973-02-01,"149919,358"
1973-03-01,"171003,059"
1973-04-01,"191107,351"
1973-05-01,"211706,08"
1973-06-01,"220576,084"
1973-07-01,"215424,836"
1973-08-01,"202745,606"
1973-09-01,"180523,196"
1973-10-01,"154875,495"
1973-11-01,"132536,471"
1973-12-01,"137395,683"
1974-01-01,"153294,714"
1974-02-01,"179367,066"
1974-03-01,"200067,928"
1974-04-01,216786
1974-05-01,"227363,382"
1974-06-01,"226867,048"
1974-07-01,"217710,03"
1974-08-01,"201766,17"
1974-09-01,"176909,474"
1974-10-01,"146177,155"
1974-11-01,"132199,825"
1974-12-01,"132515,441"
1975-01-01,"149356,433"
1975-02-01,"174716,515"
1975-03-01,"196726,891"
1975-04-01,"218041,767"
1975-05-01,"230835,689"
1975-06-01,"233813,561"
1975-07-01,"225305,152"
1975-08-01,"210982,129"
1975-09-01,"187481,376"
1975-10-01,"149756,652"
1975-11-01,"113621,048"
1975-12-01,"113055,363"
1976-01-01,"137729,877"
1976-02-01,"172823,898"
1976-03-01,"195348,219"
1976-04-01,"221059,282"
1976-05-01,"237236,808"
1976-06-01,"237210,698"
1976-07-01,"227536,346"
