# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-11-16
#
# GRDC-No.:              3629001
# River:                 AMAZON RIVER
# Station:               OBIDOS - LINIGRAFO
# Country:               --
# Latitude (DD):       -1.9192
# Longitude (DD):      -55.5131
# Catchment area (km²):      
# Altitude (m ASL):        37.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Brazil - National Water Agency (ANA)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 2020
# No. of years:          53
# Last update:           2021-03-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 625
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-01-01;--:--;   -999.000; 110741.935; 100
1968-02-01;--:--;   -999.000;   -999.000;  28
1968-03-01;--:--;   -999.000; 154785.073; 100
1968-04-01;--:--;   -999.000; 173914.036; 100
1968-05-01;--:--;   -999.000; 197792.407; 100
1968-06-01;--:--;   -999.000; 196796.255; 100
1968-07-01;--:--;   -999.000; 179328.531; 100
1968-08-01;--:--;   -999.000; 157694.276; 100
1968-09-01;--:--;   -999.000; 138373.453; 100
1968-10-01;--:--;   -999.000; 126982.707; 100
1968-11-01;--:--;   -999.000; 117262.206; 100
1968-12-01;--:--;   -999.000; 118056.304; 100
1969-01-01;--:--;   -999.000;   -999.000;   0
1969-02-01;--:--;   -999.000;   -999.000;   0
1969-03-01;--:--;   -999.000;   -999.000;   0
1969-04-01;--:--;   -999.000;   -999.000;   0
1969-05-01;--:--;   -999.000;   -999.000;   0
1969-06-01;--:--;   -999.000;   -999.000;   0
1969-07-01;--:--;   -999.000;   -999.000;   0
1969-08-01;--:--;   -999.000;   -999.000;   0
1969-09-01;--:--;   -999.000;   -999.000;   0
1969-10-01;--:--;   -999.000;   -999.000;   0
1969-11-01;--:--;   -999.000;   -999.000;   0
1969-12-01;--:--;   -999.000;   -999.000;   0
1970-01-01;--:--;   -999.000; 111497.731; 100
1970-02-01;--:--;   -999.000; 139064.710; 100
1970-03-01;--:--;   -999.000; 171539.844; 100
1970-04-01;--:--;   -999.000; 196309.097; 100
1970-05-01;--:--;   -999.000; 213704.512; 100
1970-06-01;--:--;   -999.000; 213748.010; 100
1970-07-01;--:--;   -999.000; 205370.790; 100
1970-08-01;--:--;   -999.000; 187348.589; 100
1970-09-01;--:--;   -999.000; 155242.730; 100
1970-10-01;--:--;   -999.000; 121119.188; 100
1970-11-01;--:--;   -999.000;  97499.632; 100
1970-12-01;--:--;   -999.000;  94948.094; 100
1971-01-01;--:--;   -999.000; 113225.386; 100
1971-02-01;--:--;   -999.000; 151856.424; 100
1971-03-01;--:--;   -999.000; 183793.779; 100
1971-04-01;--:--;   -999.000; 211922.815; 100
1971-05-01;--:--;   -999.000; 225843.717; 100
1971-06-01;--:--;   -999.000; 229665.323; 100
1971-07-01;--:--;   -999.000; 222508.624; 100
1971-08-01;--:--;   -999.000; 204313.854; 100
1971-09-01;--:--;   -999.000; 175032.309; 100
1971-10-01;--:--;   -999.000; 137589.494; 100
1971-11-01;--:--;   -999.000; 122611.590; 100
1971-12-01;--:--;   -999.000; 128677.912; 100
1972-01-01;--:--;   -999.000; 132154.451; 100
1972-02-01;--:--;   -999.000; 167595.873; 100
1972-03-01;--:--;   -999.000; 196814.525; 100
1972-04-01;--:--;   -999.000; 210609.379; 100
1972-05-01;--:--;   -999.000; 223108.147; 100
1972-06-01;--:--;   -999.000; 223495.292; 100
1972-07-01;--:--;   -999.000; 213668.094; 100
1972-08-01;--:--;   -999.000; 193345.626; 100
1972-09-01;--:--;   -999.000; 166340.168; 100
1972-10-01;--:--;   -999.000; 134821.492; 100
1972-11-01;--:--;   -999.000; 111012.252; 100
1972-12-01;--:--;   -999.000; 118047.130; 100
1973-01-01;--:--;   -999.000; 137766.307; 100
1973-02-01;--:--;   -999.000; 149919.358; 100
1973-03-01;--:--;   -999.000; 171003.059; 100
1973-04-01;--:--;   -999.000; 191107.351; 100
1973-05-01;--:--;   -999.000; 211706.080; 100
1973-06-01;--:--;   -999.000; 220576.084; 100
1973-07-01;--:--;   -999.000; 215424.836; 100
1973-08-01;--:--;   -999.000; 202745.606; 100
1973-09-01;--:--;   -999.000; 180523.196; 100
1973-10-01;--:--;   -999.000; 154875.495; 100
1973-11-01;--:--;   -999.000; 132536.471; 100
1973-12-01;--:--;   -999.000; 137395.683; 100
1974-01-01;--:--;   -999.000; 153294.714; 100
1974-02-01;--:--;   -999.000; 179367.066; 100
1974-03-01;--:--;   -999.000; 200067.928; 100
1974-04-01;--:--;   -999.000; 216786.000; 100
1974-05-01;--:--;   -999.000; 227363.382; 100
1974-06-01;--:--;   -999.000; 226867.048; 100
1974-07-01;--:--;   -999.000; 217710.030; 100
1974-08-01;--:--;   -999.000; 201766.170; 100
1974-09-01;--:--;   -999.000; 176909.474; 100
1974-10-01;--:--;   -999.000; 146177.155; 100
1974-11-01;--:--;   -999.000; 132199.825; 100
1974-12-01;--:--;   -999.000; 132515.441; 100
1975-01-01;--:--;   -999.000; 149356.433; 100
1975-02-01;--:--;   -999.000; 174716.515; 100
1975-03-01;--:--;   -999.000; 196726.891; 100
1975-04-01;--:--;   -999.000; 218041.767; 100
1975-05-01;--:--;   -999.000; 230835.689; 100
1975-06-01;--:--;   -999.000; 233813.561; 100
1975-07-01;--:--;   -999.000; 225305.152; 100
1975-08-01;--:--;   -999.000; 210982.129; 100
1975-09-01;--:--;   -999.000; 187481.376; 100
1975-10-01;--:--;   -999.000; 149756.652; 100
1975-11-01;--:--;   -999.000; 113621.048; 100
1975-12-01;--:--;   -999.000; 113055.363; 100
1976-01-01;--:--;   -999.000; 137729.877; 100
1976-02-01;--:--;   -999.000; 172823.898; 100
1976-03-01;--:--;   -999.000; 195348.219; 100
1976-04-01;--:--;   -999.000; 221059.282; 100
1976-05-01;--:--;   -999.000; 237236.808; 100
1976-06-01;--:--;   -999.000; 237210.698; 100
1976-07-01;--:--;   -999.000; 227536.346; 100
