Date,Discharge [ft^3/s]
2008-01-01,754000
2008-01-02,715000
2008-01-03,682000
2008-01-04,651000
2008-01-05,623000
2008-01-06,595000
2008-01-07,570000
2008-01-08,545000
2008-01-09,518000
2008-01-10,505000
2008-01-11,498000
2008-01-12,490000
2008-01-13,487000
2008-01-14,486000
2008-01-15,493000
2008-01-16,526000
2008-01-17,585000
2008-01-18,647000
2008-01-19,700000
2008-01-20,738000
2008-01-21,759000
2008-01-22,765000
2008-01-23,763000
2008-01-24,747000
2008-01-25,714000
2008-01-26,669000
2008-01-27,623000
2008-01-28,577000
2008-01-29,535000
2008-01-30,491000
2008-01-31,456000
2008-02-01,442000
2008-02-02,440000
2008-02-03,441000
2008-02-04,436000
2008-02-05,433000
2008-02-06,440000
2008-02-07,451000
2008-02-08,485000
2008-02-09,530000
2008-02-10,586000
2008-02-11,665000
2008-02-12,739000
2008-02-13,798000
2008-02-14,860000
2008-02-15,914000
2008-02-16,952000
2008-02-17,984000
2008-02-18,1010000
2008-02-19,1030000
2008-02-20,1060000
2008-02-21,1080000
2008-02-22,1110000
2008-02-23,1120000
2008-02-24,1140000
2008-02-25,1140000
2008-02-26,1150000
2008-02-27,1140000
2008-02-28,1120000
2008-02-29,1090000
2008-03-01,1050000
2008-03-02,1000000
2008-03-03,950000
2008-03-04,911000
2008-03-05,887000
2008-03-06,895000
2008-03-07,916000
2008-03-08,947000
2008-03-09,980000
2008-03-10,1020000
2008-03-11,1060000
2008-03-12,1090000
2008-03-13,1130000
2008-03-14,1160000
2008-03-15,1180000
2008-03-16,1200000
2008-03-17,1210000
2008-03-18,1220000
2008-03-19,1230000
2008-03-20,1250000
2008-03-21,1280000
2008-03-22,1300000
2008-03-23,1320000
2008-03-24,1350000
2008-03-25,1380000
2008-03-26,1410000
2008-03-27,1430000
2008-03-28,1450000
2008-03-29,1470000
2008-03-30,1490000
2008-03-31,1520000
2008-04-01,1540000
2008-04-02,1570000
2008-04-03,1600000
2008-04-04,1630000
2008-04-05,1670000
2008-04-06,1680000
2008-04-07,1700000
2008-04-08,1710000
2008-04-09,1720000
2008-04-10,1730000
2008-04-11,1740000
2008-04-12,1750000
2008-04-13,1760000
2008-04-14,1770000
2008-04-15,1780000
2008-04-16,1790000
2008-04-17,1800000
2008-04-18,1800000
2008-04-19,1810000
2008-04-20,1810000
2008-04-21,1810000
2008-04-22,1810000
2008-04-23,1810000
2008-04-24,1810000
2008-04-25,1800000
2008-04-26,1790000
2008-04-27,1770000
2008-04-28,1720000
2008-04-29,1660000
2008-04-30,1590000
2008-05-01,1500000
2008-05-02,1430000
2008-05-03,1400000
2008-05-04,1360000
2008-05-05,1330000
2008-05-06,1300000
2008-05-07,1270000
2008-05-08,1240000
2008-05-09,1220000
2008-05-10,1210000
2008-05-11,1200000
2008-05-12,1190000
2008-05-13,1180000
2008-05-14,1170000
2008-05-15,1170000
2008-05-16,1160000
2008-05-17,1160000
2008-05-18,1150000
2008-05-19,1160000
2008-05-20,1160000
2008-05-21,1170000
2008-05-22,1170000
2008-05-23,1170000
2008-05-24,1170000
2008-05-25,1170000
2008-05-26,1170000
2008-05-27,1160000
2008-05-28,1160000
2008-05-29,1150000
2008-05-30,1140000
2008-05-31,1140000
2008-06-01,1130000
2008-06-02,1120000
2008-06-03,1110000
2008-06-04,1090000
2008-06-05,1070000
2008-06-06,1050000
2008-06-07,1020000
2008-06-08,988000
2008-06-09,961000
2008-06-10,940000
2008-06-11,927000
2008-06-12,926000
2008-06-13,936000
2008-06-14,953000
2008-06-15,974000
2008-06-16,994000
2008-06-17,1010000
2008-06-18,1030000
2008-06-19,1040000
2008-06-20,1050000
2008-06-21,1060000
2008-06-22,1070000
2008-06-23,1070000
2008-06-24,1080000
2008-06-25,1090000
2008-06-26,1090000
2008-06-27,1090000
2008-06-28,1090000
2008-06-29,1090000
2008-06-30,1090000
2008-07-01,1080000
2008-07-02,1070000
2008-07-03,1060000
2008-07-04,1050000
2008-07-05,1050000
2008-07-06,1040000
2008-07-07,1040000
2008-07-08,1040000
2008-07-09,1040000
2008-07-10,1040000
2008-07-11,1040000
2008-07-12,1040000
2008-07-13,1040000
2008-07-14,1040000
2008-07-15,1030000
2008-07-16,1020000
2008-07-17,993000
2008-07-18,967000
2008-07-19,937000
2008-07-20,901000
2008-07-21,861000
2008-07-22,815000
2008-07-23,765000
2008-07-24,719000
2008-07-25,693000
2008-07-26,673000
2008-07-27,653000
2008-07-28,633000
2008-07-29,615000
2008-07-30,600000
2008-07-31,590000
2008-08-01,586000
2008-08-02,588000
2008-08-03,598000
2008-08-04,608000
2008-08-05,621000
2008-08-06,633000
2008-08-07,644000
2008-08-08,652000
2008-08-09,656000
2008-08-10,658000
2008-08-11,655000
2008-08-12,633000
2008-08-13,613000
2008-08-14,589000
2008-08-15,561000
2008-08-16,537000
2008-08-17,511000
2008-08-18,486000
2008-08-19,461000
2008-08-20,440000
2008-08-21,425000
2008-08-22,416000
2008-08-23,409000
2008-08-24,399000
2008-08-25,398000
2008-08-26,392000
2008-08-27,380000
2008-08-28,366000
2008-08-29,354000
2008-08-30,345000
2008-08-31,338000
2008-09-01,327000
2008-09-02,322000
2008-09-03,334000
2008-09-04,356000
2008-09-05,379000
2008-09-06,407000
2008-09-07,434000
2008-09-08,445000
2008-09-09,430000
2008-09-10,410000
2008-09-11,390000
2008-09-12,394000
2008-09-13,416000
2008-09-14,444000
2008-09-15,466000
2008-09-16,469000
2008-09-17,465000
2008-09-18,464000
2008-09-19,465000
2008-09-20,483000
2008-09-21,540000
2008-09-22,597000
2008-09-23,640000
2008-09-24,670000
2008-09-25,690000
2008-09-26,705000
2008-09-27,711000
2008-09-28,709000
2008-09-29,696000
2008-09-30,675000
2008-10-01,648000
2008-10-02,616000
2008-10-03,586000
2008-10-04,558000
2008-10-05,522000
2008-10-06,484000
2008-10-07,442000
2008-10-08,416000
2008-10-09,409000
2008-10-10,413000
2008-10-11,408000
2008-10-12,392000
2008-10-13,378000
2008-10-14,366000
2008-10-15,351000
2008-10-16,338000
2008-10-17,333000
2008-10-18,336000
2008-10-19,335000
2008-10-20,326000
2008-10-21,315000
2008-10-22,306000
2008-10-23,302000
2008-10-24,305000
2008-10-25,303000
2008-10-26,304000
2008-10-27,308000
2008-10-28,308000
2008-10-29,308000
2008-10-30,303000
2008-10-31,297000
2008-11-01,294000
2008-11-02,295000
2008-11-03,306000
2008-11-04,321000
2008-11-05,334000
2008-11-06,338000
2008-11-07,338000
2008-11-08,330000
2008-11-09,323000
2008-11-10,315000
2008-11-11,312000
2008-11-12,309000
2008-11-13,300000
2008-11-14,298000
2008-11-15,297000
2008-11-16,292000
2008-11-17,295000
2008-11-18,293000
2008-11-19,291000
2008-11-20,294000
2008-11-21,288000
2008-11-22,287000
2008-11-23,290000
2008-11-24,289000
2008-11-25,284000
2008-11-26,286000
2008-11-27,288000
2008-11-28,287000
2008-11-29,289000
2008-11-30,282000
2008-12-01,273000
2008-12-02,266000
2008-12-03,267000
2008-12-04,268000
2008-12-05,269000
2008-12-06,276000
2008-12-07,276000
2008-12-08,270000
2008-12-09,263000
2008-12-10,270000
2008-12-11,293000
2008-12-12,323000
2008-12-13,337000
2008-12-14,339000
2008-12-15,335000
2008-12-16,331000
2008-12-17,345000
2008-12-18,368000
2008-12-19,400000
2008-12-20,455000
2008-12-21,502000
2008-12-22,537000
2008-12-23,557000
2008-12-24,562000
2008-12-25,562000
2008-12-26,564000
2008-12-27,578000
2008-12-28,602000
2008-12-29,621000
2008-12-30,649000
2008-12-31,681000
2009-01-01,704000
2009-01-02,740000
2009-01-03,778000
2009-01-04,819000
2009-01-05,853000
2009-01-06,897000
2009-01-07,934000
2009-01-08,947000
2009-01-09,938000
2009-01-10,913000
