id,year,month,qmin,qmean,qmax,mer,mtpr,mror,viwv,vilw,viiw
1,1979,1,142600,154977.419354839,165400,-208106223.671944,350117519.805663,172023019.018358,165247733.143339,-35224.017062,-417673.074283
2,1979,2,166000,168835.714285714,174300,-205571782.080338,364440421.215198,169405153.653841,168439907.352164,283817.6912,-352891.050072
3,1979,3,175300,184080.64516129,198200,-190064744.410971,527838352.659558,267667858.924802,354629100.072413,650563.31479,-716445.924378
4,1979,4,200200,214736.666666667,231500,-182533031.07234,465739543.215999,311362838.460167,278634383.392104,154564.585465,-534623.228586
5,1979,5,232700,240419.35483871,247800,-170655573.896728,391083749.023005,239626580.622081,210989576.423667,-273105.810245,-245775.278501
6,1979,6,237500,243726.666666667,248000,-162269524.54406,228253897.981183,187260653.471663,51013558.825848,-733247.306795,121597.303553
7,1979,7,203100,221574.193548387,236900,-165643849.068064,202805895.969066,112202768.181182,36250299.385579,-867748.888773,-14794.451276
8,1979,8,152700,177245.161290323,201400,-181675606.928106,222653815.295726,71672367.476607,56189679.031459,-373261.964403,-109605.842061
9,1979,9,111800,131480,151100,-202086151.65693,244035189.832006,64712336.924514,57486772.201705,-889533.245659,-141728.857741
10,1979,10,91720,98592.9032258065,110500,-209634874.743759,313006113.891811,80793635.674539,123345986.351278,79389.376399,-226925.637478
11,1979,11,94990,97644.6666666667,100900,-210603233.631336,362039757.26617,105077469.803168,152656797.296367,204936.743195,-402656.837046
12,1979,12,96920,104636.451612903,115100,-205393983.137242,397864590.544154,131071266.432373,203055911.868193,446885.354964,-592971.483062
13,1980,1,116600,128454.838709677,138200,-207185116.650699,384890147.262797,163350780.609057,189489835.40656,289649.453138,-255225.019565
14,1980,2,138700,143534.482758621,148200,-211151909.352284,345669047.621582,174921309.864703,136420916.75869,131758.769887,-319789.488606
15,1980,3,147200,151274.193548387,156100,-189680334.185794,511592241.65899,242690901.130946,344305679.039033,379158.019648,-426024.80465
16,1980,4,157000,169153.333333333,180100,-192758358.556449,395893003.38975,227442056.298703,208535328.593026,-422690.068601,-352003.773272
17,1980,5,180400,183480.64516129,186100,-173552146.654325,324188070.924301,188713975.464072,152782344.991476,-133974.31182,-213631.430529
18,1980,6,185600,187793.333333333,190100,-162541608.755156,259659336.652654,159729092.203717,84392946.244602,-700496.964279,30322.086964
19,1980,7,167700,178316.129032258,185600,-168207148.147371,207299106.173646,104855098.97782,45088994.213151,-596992.546929,36604.746071
20,1980,8,135900,151225.806451613,167100,-188617321.233733,226302280.031734,77935448.048295,50479706.180382,-450863.932794,-113050.326134
21,1980,9,99580,114682.666666667,134400,-207877300.306906,273126020.517882,81553670.695018,78181623.647239,-175122.885374,-325578.52475
22,1980,10,92540,95837.4193548387,100300,-210556130.109218,373365965.258517,108861147.237565,183638546.497632,100845.648091,-298233.635788
23,1980,11,98790,108810.666666667,117800,-206825092.612185,380186642.476835,124263045.182004,187332943.837799,178275.668489,-492591.150943
24,1980,12,115000,119770.967741935,123900,-208626838.663399,375494463.445229,140982744.640971,170896331.989712,153877.90993,-590560.996834
25,1981,1,123600,131051.612903226,140600,-200235841.299373,439368200.731796,207138992.846212,240796491.45907,256041.798352,-432418.385494
26,1981,2,141400,150642.857142857,157400,-193100064.995938,564867964.234438,305622476.885427,377278716.440766,398736.760917,-968225.203065
27,1981,3,157400,169693.548387097,182800,-197369281.658928,476079560.623565,322678850.636736,262633020.805606,532181.202774,-776536.766101
28,1981,4,184300,195400,200100,-179451491.159401,500001055.181374,306775557.194532,307569895.713165,322420.274783,-695436.6204
29,1981,5,200100,203061.290322581,205500,-170668734.737456,360921594.182791,244777584.665882,182668344.646566,-11952.198128,-218865.406827
30,1981,6,196800,200246.666666667,203000,-156880085.562695,305861675.271414,214217122.635295,126993624.251154,-835890.485374,-126480.670282
