time,WGS84,lwe_thickness
2002-04-18,0,803403845940.9932
2002-05-11,0,896762986317.5155
2002-08-17,0,-79516804327.29402
2002-09-16,0,-634592521183.1444
2002-10-17,0,-890055274809.2057
2002-11-16,0,-725734986463.1492
2002-12-17,0,-405459428546.6532
2003-01-17,0,-293667604354.1058
2003-02-15,0,45185979126.32147
2003-03-17,0,316245205930.7339
2003-04-16,0,639639855252.8928
2003-05-12,0,733185348669.0724
2003-07-17,0,344069354393.36237
2003-08-17,0,-155258437878.11517
2003-09-16,0,-642240792161.9663
2003-10-17,0,-754679812054.5426
2003-11-16,0,-665852857589.6475
2003-12-17,0,-576918957402.722
2004-01-08,0,-253498648060.35495
2004-02-17,0,-120663567224.3891
2004-03-17,0,188749672390.20416
2004-04-16,0,455917399014.7776
2004-05-17,0,574821969491.1221
2004-06-16,0,415360114224.0863
2004-07-17,0,144980797072.3272
2004-08-17,0,-325955519351.34985
2004-09-16,0,-637808708252.2874
2004-10-17,0,-712296759241.8887
2004-11-16,0,-666266411828.2397
2004-12-17,0,-520448678359.3685
2005-01-17,0,-342297733592.77856
2005-02-15,0,3439130732.2412415
2005-03-17,0,445805695486.595
2005-04-16,0,649466907335.0928
2005-05-17,0,613874505631.6891
2005-06-16,0,317041975188.93365
2005-07-17,0,-167770071113.55847
2005-08-17,0,-697993368112.691
2005-09-16,0,-1043756144478.6672
2005-10-17,0,-1114629439741.9087
2005-11-16,0,-965732523973.7346
2005-12-17,0,-604394898295.2535
2006-01-17,0,5925477517.435608
2006-02-15,0,468595305441.3263
2006-03-17,0,648925630124.3992
2006-04-16,0,878894107237.6794
2006-05-17,0,822925846423.5493
2006-06-16,0,536753132595.1174
2006-07-17,0,104221804102.61319
2006-08-17,0,-397744203184.208
2006-09-16,0,-868417925193.6615
2006-10-17,0,-949813355763.1428
2006-11-16,0,-764712483359.6145
2006-12-17,0,-406905469287.2822
2007-01-17,0,1552547499.9607544
2007-02-15,0,64709856131.68262
2007-03-17,0,279780423695.264
2007-04-16,0,676383700271.1011
2007-05-17,0,777897709731.132
2007-06-16,0,592203887225.0597
2007-07-17,0,172023901139.33307
2007-08-17,0,-371077461686.5882
2007-09-16,0,-863250249899.4723
2007-10-17,0,-932620825205.0077
2007-11-16,0,-667998396853.8269
2007-12-17,0,-358079344886.8976
2008-01-17,0,103597930373.80215
2008-02-16,0,487453627238.54395
2008-03-17,0,813680952527.87
2008-04-16,0,907866072208.4143
2008-05-17,0,976037928376.8636
2008-06-16,0,738231743172.6487
2008-07-17,0,264549885443.51288
2008-08-17,0,-305713703596.04297
2008-09-16,0,-690299088415.466
2008-10-17,0,-786849207429.8789
2008-11-16,0,-683973724047.0393
2008-12-17,0,-380700922047.5648
2009-01-17,0,116108364550.87405
2009-02-15,0,530601478877.96173
2009-03-17,0,1021375630624.3741
2009-04-16,0,1251331797795.5674
2009-05-17,0,1256800690868.6006
2009-06-16,0,1103808360040.3865
2009-07-17,0,684303766345.5472
2009-08-17,0,30382216712.587982
2009-09-16,0,-491251731805.546
2009-10-17,0,-752476276715.1011
2009-11-16,0,-795141752459.3599
2009-12-17,0,-485843347398.1117
2010-01-17,0,-98876372008.77408
2010-02-15,0,246414529802.57687
2010-03-17,0,391113849018.80084
2010-04-16,0,653921770530.5847
2010-05-17,0,639933215969.7625
2010-06-16,0,395585099079.17395
2010-07-17,0,24685043825.710876
2010-08-17,0,-506793147221.7072
2010-09-16,0,-986015420808.0269
2010-10-17,0,-1154239298856.8093
2010-11-16,0,-951860832261.3918
2010-12-15,0,-726044300522.0657
2011-02-19,0,146863922626.4182
2011-03-17,0,553276748946.3546
2011-04-16,0,931705470132.4547
2011-05-17,0,950799261614.9121
2011-07-19,0,265896840546.2116
2011-08-17,0,-374707916017.266
2011-09-16,0,-880213358214.1019
2011-10-13,0,-860855049605.1125
2011-11-05,0,-811677603250.4783
2011-12-25,0,-361283994054.702
2012-01-19,0,45062492512.91144
2012-02-16,0,586835337832.1433
2012-03-14,0,1025880582552.6716
2012-04-07,0,1250974725166.4875
2012-06-16,0,879537492535.5074
2012-07-17,0,321357232312.90967
2012-08-17,0,-331049659548.52716
2012-09-14,0,-795607050054.5295
2012-11-19,0,-932049983532.2156
2012-12-17,0,-571937275823.4102
2013-01-17,0,-154349460379.19266
2013-02-14,0,365502433739.8162
2013-04-21,0,1088189210698.3607
2013-05-17,0,1035511064032.5526
2013-06-16,0,800296271029.5902
2013-07-17,0,461292454753.71655
2013-10-17,0,-576509536236.5739
2013-11-16,0,-451325967251.4379
2013-12-17,0,-210436319746.03766
2014-01-09,0,75574453868.53207
2014-03-18,0,992000065081.8918
2014-04-16,0,1209102991746.1028
2014-05-17,0,1298787055594.6526
2014-06-13,0,1169781496493.6382
2014-08-17,0,132504528709.78038
2014-09-16,0,-347903138951.4711
2014-10-17,0,-596565567027.5828
2014-11-16,0,-476535799936.499
