time,WGS84,lwe_thickness
2002-04-18,0,326954346266.07336
2002-05-11,0,244078099633.68967
2002-08-17,0,-122097676784.386
2002-09-16,0,-90356736015.53557
2002-10-17,0,13266907482.809204
2002-11-16,0,198546391306.08212
2002-12-17,0,272699391742.44885
2003-01-17,0,354484174030.43024
2003-02-15,0,263424004617.97787
2003-03-17,0,178690618176.1952
2003-04-16,0,214589861925.21075
2003-05-12,0,190334959388.242
2003-07-17,0,54113419250.24762
2003-08-17,0,-14126982526.539368
2003-09-16,0,-14198388546.962067
2003-10-17,0,-29261459559.372986
2003-11-16,0,100524392454.49423
2003-12-17,0,255176410931.1042
2004-01-08,0,213933242940.08075
2004-02-17,0,138771620732.44366
2004-03-17,0,53449837524.22162
2004-04-16,0,146559712337.91748
2004-05-17,0,17208362212.47014
2004-06-16,0,-188259134695.8569
2004-07-17,0,-244072793578.31195
2004-08-17,0,-306699103940.5989
2004-09-16,0,-253904437527.2522
2004-10-17,0,-185803575020.2626
2004-11-16,0,38667541042.8761
2004-12-17,0,114517743616.02985
2005-01-17,0,93735027424.77731
2005-02-15,0,106433511743.21635
2005-03-17,0,71442573955.3435
2005-04-16,0,-17454784466.573883
2005-05-17,0,-14886627734.750916
2005-06-16,0,-173551758270.39606
2005-07-17,0,-270740871542.43823
2005-08-17,0,-296137815992.37946
2005-09-16,0,-255348036272.04474
2005-10-17,0,-143071498552.04422
2005-11-16,0,-69019876098.64935
2005-12-17,0,-83468000677.56586
2006-01-17,0,-93737002068.71747
2006-02-15,0,-110217479713.36426
2006-03-17,0,-13504591483.87976
2006-04-16,0,-47606587302.84442
2006-05-17,0,-112144561931.51277
2006-06-16,0,-207007293078.1172
2006-07-17,0,-313116434086.1444
2006-08-17,0,-355973584770.1041
2006-09-16,0,-334046639745.76056
2006-10-17,0,-253026408357.79974
2006-11-16,0,55993075230.66983
2006-12-17,0,221785215447.77362
2007-01-17,0,258161894174.66644
2007-02-15,0,227820036089.7835
2007-03-17,0,133158624928.28772
2007-04-16,0,97724056374.74976
2007-05-17,0,66031194083.64841
2007-06-16,0,4923272913.456726
2007-07-17,0,-109739777356.45828
2007-08-17,0,-103682968098.76718
2007-09-16,0,-124300311120.6658
2007-10-17,0,29323513372.84366
2007-11-16,0,203849185919.02563
2007-12-17,0,290723203229.74304
2008-01-17,0,226528303210.66748
2008-02-16,0,227623509749.70804
2008-03-17,0,247313942159.08038
2008-04-16,0,287760264672.12744
2008-05-17,0,195515112988.29428
2008-06-16,0,93965469037.24323
2008-07-17,0,-39149458038.4717
2008-08-17,0,-51484456456.91666
2008-09-16,0,-99176164316.2214
2008-10-17,0,-47789160730.48804
2008-11-16,0,71185322180.08675
2008-12-17,0,154520018504.07095
2009-01-17,0,143867193164.9536
2009-02-15,0,179039125780.79614
2009-03-17,0,232894972674.48856
2009-04-16,0,218970289906.18552
2009-05-17,0,177702661087.15668
2009-06-16,0,509271314.23461914
2009-07-17,0,-103249271049.29144
2009-08-17,0,-120783843098.26065
2009-09-16,0,-102109143252.69142
2009-10-17,0,-54489941881.17401
2009-11-16,0,110663354498.897
2009-12-17,0,146482136084.7598
2010-01-17,0,283267762773.5955
2010-02-15,0,259253780247.3075
2010-03-17,0,321414885477.63293
2010-04-16,0,284078670585.5389
2010-05-17,0,212657553416.78943
2010-06-16,0,27767883447.804382
2010-07-17,0,-50906330595.3751
2010-08-17,0,-103612100214.97958
2010-09-16,0,-153869630586.24695
2010-10-17,0,-96261881489.38678
2010-11-16,0,35608228746.19464
2010-12-15,0,106516650772.55801
2011-02-19,0,41778494999.25409
2011-03-17,0,6020949958.300903
2011-04-16,0,25684455210.697235
2011-05-17,0,-78048277524.7649
2011-07-19,0,-354112546737.5995
2011-08-17,0,-381662039710.09705
2011-09-16,0,-350504495653.3161
2011-10-13,0,-172747860713.5041
2011-11-05,0,-2027575752.2439575
2011-12-25,0,117252335667.52747
2012-01-19,0,76779917740.0637
2012-02-16,0,48306875.79760742
2012-03-14,0,2138508538.6463013
2012-04-07,0,-26618329247.234375
2012-06-16,0,-165861179460.92584
2012-07-17,0,-251322649310.10547
2012-08-17,0,-315406876538.18317
2012-09-14,0,-184707984137.5881
2012-11-19,0,7281621323.132355
2012-12-17,0,120763582733.46613
2013-01-17,0,159744851798.71854
2013-02-14,0,141008851171.14618
2013-04-21,0,236578863672.3973
2013-05-17,0,103663755879.03073
2013-06-16,0,-71099285684.20648
2013-07-17,0,-157140405119.181
2013-10-17,0,-121861412385.02234
2013-11-16,0,592087863.3586426
2013-12-17,0,55578991509.069855
