time,WGS84,lwe_thickness
2002-04-18,0,326833090374.40405
2002-05-10,0,234121576065.54984
2002-08-16,0,-145948059201.76834
2002-09-16,0,-142043529089.05035
2002-10-16,0,236676124.2816162
2002-11-16,0,205072295173.5276
2002-12-16,0,270713874738.164
2003-01-16,0,288433763524.2912
2003-02-15,0,196672552582.99075
2003-03-16,0,165223700716.1241
2003-04-16,0,193942428457.60925
2003-05-11,0,156797627812.1775
2003-07-16,0,31969038517.350895
2003-08-16,0,-41651845529.67938
2003-09-16,0,-55845561214.50229
2003-10-16,0,-45492679034.90469
2003-11-16,0,65229201930.088196
2003-12-16,0,212378062937.91864
2004-01-07,0,197957090746.78403
2004-02-17,0,108440121249.1573
2004-03-16,0,22224285487.19049
2004-04-16,0,115406736768.24854
2004-05-16,0,23228136519.64035
2004-06-16,0,-153798934535.3349
2004-07-16,0,-239046450875.9334
2004-08-16,0,-315617519279.1814
2004-09-16,0,-259367065044.63635
2004-10-16,0,-181505830612.0271
2004-11-16,0,43744472614.980865
2004-12-16,0,123774654255.3658
2005-01-16,0,56376608152.04436
2005-02-15,0,62013715587.53726
2005-03-16,0,58113619879.61853
2005-04-16,0,6367287108.766235
2005-05-16,0,1494007759.6399536
2005-06-16,0,-153477620356.60745
2005-07-16,0,-255795378455.63898
2005-08-16,0,-286985395120.4072
2005-09-16,0,-261616030283.16998
2005-10-16,0,-134436575334.09564
2005-11-16,0,-37420974496.16107
2005-12-16,0,-92242921551.75037
2006-01-16,0,-82295543449.1684
2006-02-15,0,-103291128683.45482
2006-03-16,0,-7806313050.333939
2006-04-16,0,-7636531822.876587
2006-05-16,0,-89582035357.31827
2006-06-16,0,-186728128761.60696
2006-07-16,0,-305428421042.8102
2006-08-16,0,-336086011879.6643
2006-09-16,0,-329834907891.96173
2006-10-16,0,-235470499044.93607
2006-11-16,0,62147152680.20178
2006-12-16,0,181951090705.55322
2007-01-16,0,276382843230.5336
2007-02-14,0,224596128034.31772
2007-03-16,0,126523340049.95062
2007-04-16,0,101748723151.70337
2007-05-16,0,77145846743.40283
2007-06-16,0,4665686567.299225
2007-07-16,0,-111541462659.88828
2007-08-16,0,-114909130195.24689
2007-09-16,0,-128985812557.65584
2007-10-16,0,-17335491476.721436
2007-11-16,0,150641049584.08337
2007-12-16,0,276437772225.31915
2008-01-16,0,220172524257.04233
2008-02-15,0,208506935677.6813
2008-03-16,0,219262308884.55756
2008-04-16,0,296935059483.9144
2008-05-16,0,191995097785.39206
2008-06-16,0,75328459878.49477
2008-07-16,0,-48944484366.71446
2008-08-16,0,-59979279588.4321
2008-09-16,0,-105256834956.96182
2008-10-16,0,-47525376008.08267
2008-11-16,0,95605225090.78793
2008-12-16,0,163190883383.4978
2009-01-16,0,130714536798.70923
2009-02-15,0,145555473497.4479
2009-03-16,0,202510726113.6161
2009-04-16,0,247563413608.79822
2009-05-16,0,190802909942.7647
2009-06-16,0,38785683737.84536
2009-07-16,0,-63776220673.410774
2009-08-16,0,-115668405434.46353
2009-09-16,0,-99549254888.93353
2009-10-16,0,-50266621834.05087
2009-11-16,0,119283669496.43752
2009-12-16,0,171615327591.453
2010-01-16,0,297924761987.1126
2010-02-15,0,246781458942.7268
2010-03-16,0,310575282902.9498
2010-04-16,0,307632299383.69727
2010-05-16,0,254168395709.90692
2010-06-16,0,42875658480.39009
2010-07-16,0,-31653492430.92872
2010-08-16,0,-95248886814.51248
2010-09-16,0,-126610217886.00294
2010-10-16,0,-82299239471.31293
2010-11-16,0,46742294918.634
2010-12-14,0,124148089880.29544
2011-02-18,0,74525589612.71588
2011-03-16,0,40212089790.059814
2011-04-16,0,67764030272.50748
2011-05-16,0,-12821036476.48935
2011-07-18,0,-300342785686.5194
2011-08-16,0,-340936869414.2844
2011-09-16,0,-313484828859.1869
2011-10-16,0,-107059157078.86551
2011-10-31,0,-8901337108.409485
2011-12-28,0,114021035515.1932
2012-01-16,0,78860509404.51372
2012-02-15,0,-17068132140.704712
2012-03-16,0,50715598.69900513
2012-04-04,0,4780476174.106262
2012-06-16,0,-149150207425.31894
2012-07-16,0,-279555772056.6373
2012-08-16,0,-310836029138.8462
2012-09-13,0,-223570001694.2962
2012-11-18,0,47289501838.45421
2012-12-16,0,118018525416.50748
2013-01-16,0,144149285519.5722
2013-02-14,0,144190336983.3822
