time,WGS84,lwe_thickness
2002-04-18,0,209489799063.99625
2002-05-11,0,280166180142.6544
2002-08-17,0,-134197039662.56943
2002-09-16,0,-261554446207.0985
2002-10-17,0,-193315449780.65802
2002-11-16,0,-107325184562.69
2002-12-17,0,-45714625439.82257
2003-01-17,0,-46026870936.86321
2003-02-15,0,55836911809.286316
2003-03-17,0,117327998190.04636
2003-04-16,0,138441137820.65527
2003-05-12,0,195328276753.83545
2003-07-17,0,-43586107023.85263
2003-08-17,0,-201864642694.64352
2003-09-16,0,-226683633267.12134
2003-10-17,0,-227791046678.18698
2003-11-16,0,-143394256387.92392
2003-12-17,0,-36741927934.00898
2004-01-08,0,10696217880.366623
2004-02-17,0,50507726032.29238
2004-03-17,0,76883703902.61473
2004-04-16,0,99774409178.88791
2004-05-17,0,96689885258.01535
2004-06-16,0,83064374679.01814
2004-07-17,0,-1614272760.1560717
2004-08-17,0,-110240609482.74594
2004-09-16,0,-166643920626.67105
2004-10-17,0,-159127421207.93848
2004-11-16,0,-31498298938.78632
2004-12-17,0,82261362448.64412
2005-01-17,0,177214991078.40015
2005-02-15,0,167459238139.0883
2005-03-17,0,163959561652.1853
2005-04-16,0,196544077206.07663
2005-05-17,0,158378515671.9583
2005-06-16,0,110420620807.90422
2005-07-17,0,-72015526564.87968
2005-08-17,0,-178863484779.9347
2005-09-16,0,-265592842516.17078
2005-10-17,0,-221200400149.5766
2005-11-16,0,-222109160039.95917
2005-12-17,0,-98740518287.55357
2006-01-17,0,-21100620042.507744
2006-02-15,0,7426760771.320087
2006-03-17,0,36193989672.395294
2006-04-16,0,125773450505.11203
2006-05-17,0,61778070617.83521
2006-06-16,0,-28512833479.9874
2006-07-17,0,-178739207881.6702
2006-08-17,0,-266120628508.99084
2006-09-16,0,-319292758134.67474
2006-10-17,0,-275692895795.41376
2006-11-16,0,-172116516719.4876
2006-12-17,0,-79537790553.85323
2007-01-17,0,50813166593.11073
2007-02-15,0,26499536089.857437
2007-03-17,0,66064410715.58636
2007-04-16,0,129589875999.99942
2007-05-17,0,128065168414.38994
2007-06-16,0,57183135955.085144
2007-07-17,0,-100496368707.025
2007-08-17,0,-222148700806.00635
2007-09-16,0,-285522753546.4026
2007-10-17,0,-265341094697.94592
2007-11-16,0,-214175696183.222
2007-12-17,0,-66811533081.80724
2008-01-17,0,-3374782389.105029
2008-02-16,0,58228981119.50432
2008-03-17,0,172630648886.88943
2008-04-16,0,214988553010.95374
2008-05-17,0,199113033553.90924
2008-06-16,0,168728570456.50107
2008-07-17,0,18439781026.24134
2008-08-17,0,-117898494300.62369
2008-09-16,0,-128527882479.42055
2008-10-17,0,-128068357379.25313
2008-11-16,0,-95025360143.8827
2008-12-17,0,23502493957.497322
2009-01-17,0,150912442183.0227
2009-02-15,0,132239439235.04651
2009-03-17,0,177544790490.563
2009-04-16,0,241096944413.36252
2009-05-17,0,302951520122.60126
2009-06-16,0,216380191237.99707
2009-07-17,0,63530730757.9183
2009-08-17,0,-27705820573.292225
2009-09-16,0,-97891843280.5482
2009-10-17,0,30709953388.220547
2009-11-16,0,96481502467.32692
2009-12-17,0,191026568461.7951
2010-01-17,0,264646330945.7708
2010-02-15,0,278068841766.40857
2010-03-17,0,261590478452.2196
2010-04-16,0,255079257679.536
2010-05-17,0,321776507110.64185
2010-06-16,0,293663892663.03625
2010-07-17,0,151634359455.84897
2010-08-17,0,-2772331359.7117844
2010-09-16,0,-92419776748.09448
2010-10-17,0,-116163690303.08508
2010-11-16,0,-37978518689.90923
2010-12-15,0,72884562327.48146
2011-02-19,0,165207535860.7446
2011-03-17,0,294638208624.9505
2011-04-16,0,339248224633.32996
2011-05-17,0,413554764502.47906
2011-07-19,0,153595062321.56146
2011-08-17,0,1172548938.7692108
2011-09-16,0,-115281541805.76614
2011-10-13,0,-105247572825.80878
2011-11-05,0,-83844214126.78429
2011-12-25,0,74559561660.41461
2012-01-19,0,78455880117.5366
2012-02-16,0,127080064485.74298
2012-03-14,0,150332989504.6711
2012-04-07,0,156985049862.07825
2012-06-16,0,17778738364.30197
2012-07-17,0,-216070027304.70438
2012-08-17,0,-330677243978.7687
2012-09-14,0,-367512666995.14966
2012-11-19,0,-286640521887.3744
2012-12-17,0,-221048892692.6664
2013-01-17,0,-142703138850.5806
2013-02-14,0,-77195073997.75781
2013-04-21,0,96702914658.22078
2013-05-17,0,126096297623.69507
2013-06-16,0,153395843163.602
2013-07-17,0,-34081238978.378372
2013-10-17,0,-185960731542.23312
