time,WGS84,lwe_thickness
2002-04-18,0,320532470937.95166
2002-05-10,0,295868618888.6631
2002-08-16,0,-4103455970.228096
2002-09-16,0,-72082085889.2844
2002-10-16,0,-24331663884.3157
2002-11-16,0,52787043104.18381
2002-12-16,0,53356826451.86276
2003-01-16,0,117359385947.71825
2003-02-15,0,191528888547.6435
2003-03-16,0,188069813390.61768
2003-04-16,0,196198670828.08353
2003-05-11,0,224148584611.1084
2003-07-16,0,-34956896892.709885
2003-08-16,0,-154851740819.34766
2003-09-16,0,-204397688369.21097
2003-10-16,0,-209589647296.3249
2003-11-16,0,-146162081633.1269
2003-12-16,0,-57726454293.608765
2004-01-07,0,-2059590841.3515358
2004-02-17,0,23201719183.314953
2004-03-16,0,27405005039.298996
2004-04-16,0,141445565265.75638
2004-05-16,0,147325977800.61594
2004-06-16,0,24756560875.433914
2004-07-16,0,-92619844244.57082
2004-08-16,0,-214658720300.87128
2004-09-16,0,-175835228336.6978
2004-10-16,0,-150206456114.95523
2004-11-16,0,-35675120800.70702
2004-12-16,0,43378023312.59111
2005-01-16,0,72791885116.87811
2005-02-15,0,87548500222.24852
2005-03-16,0,119113493444.10168
2005-04-16,0,158990644252.48297
2005-05-16,0,167848734801.54187
2005-06-16,0,47317005071.85402
2005-07-16,0,-82113445645.3775
2005-08-16,0,-175171077721.4399
2005-09-16,0,-161500626211.21683
2005-10-16,0,-155509610858.50793
2005-11-16,0,-102927141643.92398
2005-12-16,0,-55387149750.206024
2006-01-16,0,-34956278374.954895
2006-02-15,0,2037314384.1661358
2006-03-16,0,54716732106.73817
2006-04-16,0,87876539824.27951
2006-05-16,0,75335127679.4292
2006-06-16,0,13259327334.151966
2006-07-16,0,-89235765489.51614
2006-08-16,0,-135660547468.47815
2006-09-16,0,-190870194899.61597
2006-10-16,0,-152036502135.4898
2006-11-16,0,-42608465627.85574
2006-12-16,0,34495911733.52585
2007-01-16,0,102447295925.50099
2007-02-14,0,166389672454.37637
2007-03-16,0,178088773618.2298
2007-04-16,0,205417510591.54404
2007-05-16,0,261148509979.68817
2007-06-16,0,250396046532.24426
2007-07-16,0,98688259751.74811
2007-08-16,0,-12568053773.49996
2007-09-16,0,-112278563846.6459
2007-10-16,0,-151071334072.50674
2007-11-16,0,-111862920522.95905
2007-12-16,0,-42367977788.05147
2008-01-16,0,-3952199619.4328823
2008-02-15,0,45751110479.69435
2008-03-16,0,145429157560.2024
2008-04-16,0,161118155336.56018
2008-05-16,0,132674146797.7118
2008-06-16,0,51136573294.34615
2008-07-16,0,-79172423776.8689
2008-08-16,0,-146771876282.14713
2008-09-16,0,-160823098101.06738
2008-10-16,0,-157711812672.5516
2008-11-16,0,-82791628780.3087
2008-12-16,0,-4580447353.210384
2009-01-16,0,46819486189.10477
2009-02-15,0,59563793865.79941
2009-03-16,0,104099329691.90973
2009-04-16,0,139758191153.9926
2009-05-16,0,126562261249.88916
2009-06-16,0,25834731201.494976
2009-07-16,0,-32995451877.84696
2009-08-16,0,-99834588039.69948
2009-09-16,0,-134901895026.89119
2009-10-16,0,-165637466263.5889
2009-11-16,0,-95579305941.0298
2009-12-16,0,13765736439.63947
2010-01-16,0,80880685516.88681
2010-02-15,0,69378667677.83768
2010-03-16,0,98529448392.33841
2010-04-16,0,137879919251.52246
2010-05-16,0,125545282023.1165
2010-06-16,0,10259411116.808922
2010-07-16,0,-74461698434.27182
2010-08-16,0,-181901830059.59625
2010-09-16,0,-250572847769.69147
2010-10-16,0,-231841402541.33743
2010-11-16,0,-166253267354.53387
2010-12-14,0,-41499796398.655716
2011-02-18,0,22499051006.371624
2011-03-16,0,29842232307.680252
2011-04-16,0,86429570943.03328
2011-05-16,0,39567240728.50774
2011-07-18,0,-129747434597.79846
2011-08-16,0,-193587997237.7614
2011-09-16,0,-215614895988.71683
2011-10-16,0,-214791484808.04468
2011-10-31,0,-201982431928.08307
2011-12-28,0,-55606867386.758575
2012-01-16,0,-75326389380.35236
2012-02-15,0,-94281170127.67084
2012-03-16,0,-67538994626.653885
2012-04-04,0,-31283024487.968174
2012-06-16,0,-167400601240.98297
2012-07-16,0,-297377426147.6818
2012-08-16,0,-351314316052.09125
2012-09-13,0,-343691709710.61816
