,year,month,ensemble_mean,ensemble_spread
0,1959,1,-1068232195581.8313,206134074204.37762
1,1959,2,-708820500147.1229,197250214726.69696
2,1959,3,-795544514470.4663,186441139220.94556
3,1959,4,-328181939931.48987,177016267663.08954
4,1959,5,-74137639938.86877,138463735492.71393
5,1959,6,25344893569.530354,117302438780.22061
6,1959,7,200158917007.38055,106181289830.96654
7,1959,8,161423123172.66888,117654321835.039
8,1959,9,41876862213.38014,125849470871.84077
9,1959,10,-585760776023.1683,199851661345.198
10,1959,11,-775579879526.2994,200419691784.99942
11,1959,12,-814250423374.9692,214321249058.02887
12,1960,1,-1204719688676.6868,200896710005.91354
13,1960,2,-806405825351.6125,182724696425.4642
14,1960,3,-269909497813.4812,154436242052.67218
15,1960,4,-117433303465.3592,132292786476.75873
16,1960,5,256933779479.204,105158263467.17612
17,1960,6,-126638824073.18233,115611761757.7726
18,1960,7,-34365950765.58033,108585182389.06256
19,1960,8,-90874559084.98862,128317859059.14293
20,1960,9,-90575460870.791,139868015860.27145
21,1960,10,-911020888032.3452,215351373647.53293
22,1960,11,-843600386244.1743,185307411210.63998
23,1960,12,-890064644770.9697,194101180163.38565
24,1961,1,-357795038789.67865,193757870775.84668
25,1961,2,-1125168564079.7515,193147207496.81186
26,1961,3,-363068938710.61615,175066146997.6201
27,1961,4,-559910763384.5743,165530059654.73056
28,1961,5,204931669510.44135,101060879619.29631
29,1961,6,189848150006.58646,89031381611.2028
30,1961,7,293750461533.7667,80556096702.02637
31,1961,8,196444315759.60626,89267589969.79527
32,1961,9,218940636588.7492,119566484703.32977
33,1961,10,-758728218380.3813,177195980165.5165
34,1961,11,-908550224890.5583,212535403804.3008
35,1961,12,-923096545571.032,199932360286.36487
36,1962,1,-1301343017745.017,200264219952.17233
37,1962,2,-953091362599.9421,187977068626.6647
38,1962,3,-585739373677.9663,177222506712.3464
39,1962,4,-328186611807.62103,141727824546.092
40,1962,5,345109791240.544,109618678407.90128
41,1962,6,89900831582.66148,77846840235.52232
42,1962,7,271691286495.26657,66990086186.79643
43,1962,8,69260117766.85034,91205441327.58061
44,1962,9,-233474395439.3264,141169109681.21368
45,1962,10,-564018838782.1398,169221637129.58127
46,1962,11,-647630978485.8593,170353692043.42877
47,1962,12,-1287168388349.447,200972871101.55505
48,1963,1,-1188689449054.9421,201338743368.46402
49,1963,2,-976736302896.101,172279905514.0971
50,1963,3,-587088099789.2822,168933975062.20367
51,1963,4,26171440682.776108,138208836434.8869
52,1963,5,187698524395.01965,107107641172.37752
53,1963,6,83326815343.96211,86352305686.99908
54,1963,7,275771990933.83923,86145519387.13881
55,1963,8,184500630900.2387,109053455894.92342
56,1963,9,-38741105852.81553,135070017474.8316
57,1963,10,-146862575735.40417,160427014806.4452
58,1963,11,-703636030620.6008,195878954187.35208
59,1963,12,-622618459130.6385,191902406601.3395
60,1964,1,-447257230827.2825,171700098503.43103
61,1964,2,-1079155907208.8529,194548168824.71912
62,1964,3,-574544978621.4602,175970249708.80008
63,1964,4,-289990755892.3377,140993420273.0136
64,1964,5,417301168631.0167,94469094305.03383
65,1964,6,86709757490.6889,93844937920.11848
66,1964,7,74656862292.2679,81168170913.97275
67,1964,8,37127197787.20015,113647699740.8634
68,1964,9,-544714539521.5306,153634167517.06284
69,1964,10,-453592403314.9005,148588468160.17767
70,1964,11,-643715202821.9341,170352323789.08218
71,1964,12,-915886003558.5459,190442775776.01114
72,1965,1,-1287793153955.4507,219432678925.16168
73,1965,2,-1286276655020.4583,208085585771.23016
74,1965,3,-506470909049.9593,159672261833.68195
75,1965,4,-590694333054.5918,148900231115.4422
76,1965,5,-350637523545.1489,126852525520.02362
77,1965,6,42354864939.305534,111425798336.7411
78,1965,7,-149181115608.03226,124086023007.4468
79,1965,8,134290139182.0052,120371443591.1084
80,1965,9,-330144718020.6694,152489713367.103
81,1965,10,-589528426297.867,207449501808.07
82,1965,11,-540700349668.659,167097422080.67078
83,1965,12,-1149001308813.1821,211769656575.5551
84,1966,1,-606390683218.1674,201441473623.78976
85,1966,2,-1304019881559.0273,210904817894.24734
86,1966,3,-576658020575.7502,169845139308.45172
87,1966,4,271126229746.12704,120591410474.76901
88,1966,5,107155498991.70601,111531959320.22946
89,1966,6,8577227880.749707,108282264176.41116
90,1966,7,147893946313.91855,96021739327.02104
91,1966,8,65419487789.45983,93447815957.53592
92,1966,9,19503653093.463535,119779550585.3943
93,1966,10,-1040058883019.5007,200881191404.36642
94,1966,11,-418410540756.9699,174674227176.02
95,1966,12,-653319796103.4647,187209990268.6685
96,1967,1,-1350079642696.5488,225343196307.52338
97,1967,2,-1388250482909.4197,207003693636.20108
98,1967,3,-1370751269438.1443,190051582662.33295
99,1967,4,-136149716667.26674,141015615018.33325
100,1967,5,125200607959.69594,110959883925.19852
101,1967,6,-165525475977.6198,114954779561.21172
102,1967,7,-68095978990.551476,102338133360.40678
103,1967,8,49579941843.33378,112889997009.29439
104,1967,9,40807949716.15523,125517991115.26953
105,1967,10,-389977108540.62286,170790368057.46332
106,1967,11,-478987162372.3751,168307874982.47318
107,1967,12,-756612046004.2432,180611682919.0371
108,1968,1,-936884982713.5686,202780399276.8428
109,1968,2,-735076732799.9734,178332726157.93314
110,1968,3,-135664655224.64183,138551242547.8073
111,1968,4,284664271037.16754,107870296753.3174
112,1968,5,33217111312.830647,90095375936.0511
113,1968,6,157638573221.6583,82737797059.3374
114,1968,7,121818463458.7318,78007871760.49028
115,1968,8,-396334316606.3876,116399891762.82979
116,1968,9,-87496235308.60909,130563962078.27582
117,1968,10,-853997837239.1345,179847535791.1775
118,1968,11,-263186900372.00665,178300907008.22513
119,1968,12,-1392013134681.9954,212268978836.5065
120,1969,1,-578006790103.0125,188694812710.70743
121,1969,2,-290306574357.6442,176840472067.45474
122,1969,3,-200169538877.28482,157406321708.3293
123,1969,4,-333251846539.3036,145646387972.43097
124,1969,5,-378915487.74834615,124166940289.44466
125,1969,6,158995108407.1049,98789246001.07262
126,1969,7,176184964950.58813,81565844790.84047
127,1969,8,141985891728.54135,89364795488.05238
128,1969,9,-421483778291.492,153239877352.35272
129,1969,10,-791276528234.7437,174981568998.49542
130,1969,11,-1391619142902.851,223974163700.5995
131,1969,12,-693067268692.6345,179472469578.36108
132,1970,1,-896573798927.2019,191838105877.41003
133,1970,2,-576470372316.6068,186595573953.24142
134,1970,3,-464739833219.7769,165562665137.2496
135,1970,4,-155524042190.66583,128352391636.49121
136,1970,5,120070100521.90096,122357715809.23195
137,1970,6,-111559191533.29414,107463072096.25662
138,1970,7,101935761620.60458,92269817665.71402
139,1970,8,46737259616.51777,97460760393.37181
140,1970,9,-591021418341.641,147857874068.57645
141,1970,10,-504648606985.89386,165395622202.5589
142,1970,11,-556172366444.3373,169372575905.43274
143,1970,12,-664669907346.6073,197987181475.62396
144,1971,1,-706319675981.1892,199269007990.4147
145,1971,2,-279387619247.068,173251849984.22202
146,1971,3,-642357807400.1089,166890245545.04285
147,1971,4,74892686724.28476,126152230309.23372
148,1971,5,18851424899.66143,114909197654.75449
149,1971,6,-300300299350.00854,114880093038.96172
150,1971,7,-112201069877.5902,110775709175.489
151,1971,8,-50666696459.46117,105235331746.65594
152,1971,9,-455150325317.67676,129925007723.79922
153,1971,10,-843651469548.9962,162874441582.73032
154,1971,11,-557855756757.1105,165027557889.21915
155,1971,12,-646442158537.047,183857299072.10446
156,1972,1,-493055976903.6355,173961229261.89505
157,1972,2,-872302519208.9987,180740206139.34134
158,1972,3,-462849455380.4467,160733984311.59406
159,1972,4,22149339414.88867,120936181569.41254
160,1972,5,-31799756220.01846,112791151117.72824
161,1972,6,9555784968.633007,116323430776.98174
162,1972,7,-201019459410.4968,109608770654.83437
163,1972,8,25533797619.81922,133207535634.49739
164,1972,9,-289915605948.8987,146921905885.29752
165,1972,10,-408609398546.4703,170196462187.30728
166,1972,11,-954419206021.0618,197183409222.30728
167,1972,12,-761061833055.7539,203181359887.06744
168,1973,1,-145394175562.30072,189442372823.97263
169,1973,2,-188181397416.82574,171804142468.20752
170,1973,3,-463333992373.78467,168508011195.89133
171,1973,4,-240552503722.956,138589165050.9699
172,1973,5,3440703201.0021105,103123023748.85045
173,1973,6,-6700074927.956185,111577370157.13387
174,1973,7,72297488072.61713,87145541816.18532
175,1973,8,-49101485223.36321,82608154008.188
176,1973,9,-237353958312.57462,115626817452.92587
177,1973,10,-704609024495.6206,161815871250.13065
178,1973,11,-668564183229.4203,163403892272.91113
179,1973,12,-1349233262715.777,193591188302.66376
180,1974,1,-803550047281.7804,194557452398.55292
181,1974,2,-425123760995.6119,166889955198.87094
