time,WGS84,lwe_thickness
2002-04-18,0,193503660759.86032
2002-05-11,0,132562296063.58049
2002-08-17,0,-84593461471.92992
2002-09-16,0,-161570778467.5362
2002-10-17,0,-222950708410.08865
2002-11-16,0,-180958069617.11908
2002-12-17,0,-56153999270.31105
2003-01-17,0,-25003229334.846436
2003-02-15,0,185356719616.20056
2003-03-17,0,264423685357.66254
2003-04-16,0,290361886972.0054
2003-05-12,0,160964772453.66888
2003-07-17,0,13030946445.124924
2003-08-17,0,-123132871568.14902
2003-09-16,0,-258601331867.47568
2003-10-17,0,-228351781112.43915
2003-11-16,0,-205964616698.98615
2003-12-17,0,-107051867361.91016
2004-01-08,0,-40287302346.609924
2004-02-17,0,76553889042.60991
2004-03-17,0,98120694101.94145
2004-04-16,0,58110485022.57702
2004-05-17,0,134249430901.71735
2004-06-16,0,103746356689.26578
2004-07-17,0,55677746021.43298
2004-08-17,0,-101840995530.8947
2004-09-16,0,-218113875158.1928
2004-10-17,0,-220807685150.21838
2004-11-16,0,-116377806154.5296
2004-12-17,0,-48397472961.36592
2005-01-17,0,60402008646.033325
2005-02-15,0,126870368266.21764
2005-03-17,0,101653452114.48717
2005-04-16,0,88788832003.01901
2005-05-17,0,27416578607.07665
2005-06-16,0,3816629674.947445
2005-07-17,0,-64653607962.74852
2005-08-17,0,-174211192183.70224
2005-09-16,0,-210589403500.31375
2005-10-17,0,-173160937601.63565
2005-11-16,0,-118259388090.55405
2005-12-17,0,-21986981260.343872
2006-01-17,0,72942795177.04117
2006-02-15,0,86575919236.98517
2006-03-17,0,157307170848.84845
2006-04-16,0,267950386538.62433
2006-05-17,0,97876594803.35222
2006-06-16,0,2167548632.9788933
2006-07-17,0,-68198418378.59499
2006-08-17,0,-197677715472.72205
2006-09-16,0,-268545333501.52258
2006-10-17,0,-208615863139.21005
2006-11-16,0,-149615976016.2107
2006-12-17,0,-8669792999.793766
2007-01-17,0,208902703983.1614
2007-02-15,0,391449087276.27936
2007-03-17,0,333230364744.67676
2007-04-16,0,270545459801.1384
2007-05-17,0,216144863629.12192
2007-06-16,0,107545760025.55267
2007-07-17,0,2330720472.253254
2007-08-17,0,-91562207881.50406
2007-09-16,0,-246416183509.54068
2007-10-17,0,-249489381268.1319
2007-11-16,0,-165134823273.17938
2007-12-17,0,-99808623772.7225
2008-01-17,0,-17357673206.43355
2008-02-16,0,172239454680.12857
2008-03-17,0,272076539074.90042
2008-04-16,0,292628547850.8146
2008-05-17,0,267706140123.4347
2008-06-16,0,144744803732.97543
2008-07-17,0,-9218872883.077152
2008-08-17,0,-79867058768.00662
2008-09-16,0,-185239338087.86356
2008-10-17,0,-193470902068.3998
2008-11-16,0,-156525756924.7578
2008-12-17,0,-149002613905.7252
2009-01-17,0,-67718034180.09579
2009-02-15,0,53947994866.009186
2009-03-17,0,70182171489.57518
2009-04-16,0,64023847023.3801
2009-05-17,0,-16199590991.26117
2009-06-16,0,-42858594724.19551
2009-07-17,0,-62099085554.21567
2009-08-17,0,-128733529634.7201
2009-09-16,0,-109085879361.45372
2009-10-17,0,-104487282416.9235
2009-11-16,0,-27283992210.69004
2009-12-17,0,123643826929.5006
2010-01-17,0,277743958356.7495
2010-02-15,0,310013032494.48987
2010-03-17,0,336556508879.8616
2010-04-16,0,297680530452.2465
2010-05-17,0,183993878394.17026
2010-06-16,0,112539047598.72046
2010-07-17,0,43045592187.55035
2010-08-17,0,-75035108063.12529
2010-09-16,0,-204944618611.6524
2010-10-17,0,-135737068019.92747
2010-11-16,0,-114516650467.54082
2010-12-15,0,-81636262373.25308
2011-02-19,0,242666656211.3211
2011-03-17,0,447469219644.3683
2011-04-16,0,433621831302.71606
2011-05-17,0,359482125360.52783
2011-07-19,0,141444679084.83838
2011-08-17,0,51074035564.11402
2011-09-16,0,-72693520481.6945
2011-10-13,0,-35351029010.77737
2011-11-05,0,-58653967618.81148
2011-12-25,0,-19283709952.36603
2012-01-19,0,52722491156.75679
2012-02-16,0,109213826757.07474
2012-03-14,0,66322372897.06608
2012-04-07,0,77597098966.29013
2012-06-16,0,178271546172.16614
2012-07-17,0,103356443622.59015
2012-08-17,0,-67528512792.59021
2012-09-14,0,-179230378677.70297
2012-11-19,0,-168312446572.63995
2012-12-17,0,-109197140729.43309
2013-01-17,0,-49634001547.916885
2013-02-14,0,49131730344.987625
2013-04-21,0,209770324879.5916
2013-05-17,0,69029518148.4681
2013-06-16,0,114681763097.0464
2013-07-17,0,100507610181.26738
2013-10-17,0,-145529501463.3782
2013-11-16,0,-117414748862.0891
2013-12-17,0,-81323734550.46918
2014-01-09,0,-17270513402.650566
2014-03-18,0,57164729305.80915
2014-04-16,0,118591900784.71954
2014-05-17,0,142880653936.59534
2014-06-13,0,156360292880.3329
2014-08-17,0,-52455488365.172455
2014-09-16,0,-154044637417.35828
2014-10-17,0,-197133411298.34726
2014-11-16,0,-178713491105.53412
2015-01-23,0,-56117064609.43979
2015-02-15,0,16949592778.961536
2015-03-17,0,98291720896.22827
2015-04-12,0,158333497055.17383
2015-05-02,0,156313818259.2956
2015-07-16,0,125257547071.01944
2015-08-17,0,-54778264957.93444
2015-09-15,0,-117714811292.07632
2015-12-23,0,117812412378.7115
2016-01-17,0,293944421358.624
2016-02-14,0,365960386647.74146
2016-03-17,0,495172051016.60864
2016-05-20,0,312917890405.4088
2016-06-16,0,284419674652.15466
2016-07-16,0,124843673112.70709
2016-08-22,0,43707443637.267944
2016-11-28,0,86570308862.01003
2016-12-25,0,54887664245.34038
2017-01-21,0,47039116457.751785
2017-03-31,0,198197103170.2903
2017-04-25,0,241587081267.3797
2017-05-15,0,293956608065.2798
2017-06-11,0,346267146758.7918
2018-06-16,0,150711381001.4975
2018-07-10,0,49476904759.983696
2018-11-01,0,48500586897.741974
2018-11-21,0,133092196070.61333
2018-12-17,0,165289162983.31445
2019-01-14,0,152265245722.6267
2019-02-12,0,171440818852.33774
2019-03-17,0,305672480584.7495
2019-04-16,0,377111918919.67017
2019-05-17,0,370538383359.8452
2019-06-16,0,243579120326.34918
2019-07-17,0,132230621425.5926
2019-08-17,0,49212718649.577774
2019-09-16,0,-78332470140.33597
2019-10-17,0,-160790395797.70868
2019-11-16,0,-173845805386.30078
2019-12-17,0,-38254821759.86322
2020-01-17,0,38942859496.96991
2020-02-16,0,171467318700.73947
2020-03-17,0,125888044209.6065
2020-04-16,0,102099667885.33212
2020-05-17,0,19333163460.83722
2020-06-16,0,-18739944516.983597
2020-07-17,0,-66648256709.10423
2020-08-17,0,-163150307963.61212
2020-09-16,0,-275276555975.2968
2020-10-17,0,-365583538875.90894
2020-11-16,0,-313442977505.7136
2020-12-17,0,-189529732788.4537
2021-01-17,0,-94022596530.22299
2021-02-15,0,-1190101742.5997162
2021-03-17,0,-30364318427.8619
2021-04-16,0,-89533379733.01527
2021-05-17,0,-140094344981.23178
2021-06-16,0,-177118350034.11447
2021-07-17,0,-273681009928.34082
2021-08-17,0,-397524377216.1804
2021-09-16,0,-490871254241.0416
2021-10-17,0,-369268931091.59094
2021-11-16,0,-317489720909.1764
2021-12-17,0,-278806319589.5962
2022-01-17,0,-190366296540.78876
2022-02-15,0,-101107407305.86624
2022-03-17,0,-21140422476.55371
2022-04-16,0,17600647553.33722
2022-05-17,0,-91088522158.3182
2022-06-16,0,-158445079987.6354
2022-07-17,0,-234228087143.40375
2022-08-17,0,-314052351854.58527
2022-09-16,0,-251929338686.29315
2022-10-17,0,-217479294250.9272
2022-11-16,0,-311953993110.6385
2022-12-17,0,-263455349457.2334
2023-01-17,0,-129831230547.32243
2023-02-15,0,-8720194721.067017
2023-03-17,0,150748711633.33185
2023-04-16,0,182071551882.22006
2023-05-17,0,112771039704.49658
2023-06-16,0,1199902176.9380798
2023-07-17,0,-86650604839.65338
2023-08-17,0,-184322853643.84204
2023-09-16,0,-180371012994.7925
