time,WGS84,lwe_thickness
2002-04-18,0,226868746304.0413
2002-05-10,0,183930933641.13394
2002-08-16,0,13603025024.665665
2002-09-16,0,-94553708002.93939
2002-10-16,0,-137039386042.452
2002-11-16,0,-117972727804.11777
2002-12-16,0,-23092451217.803192
2003-01-16,0,35800401335.12599
2003-02-15,0,206444258717.37567
2003-03-16,0,267832854102.55585
2003-04-16,0,271011201559.16937
2003-05-11,0,157687725588.1717
2003-07-16,0,10639781123.436638
2003-08-16,0,-72940604866.44774
2003-09-16,0,-214427227566.1514
2003-10-16,0,-192480945478.33545
2003-11-16,0,-156310038861.61328
2003-12-16,0,-33922805766.325714
2004-01-07,0,25925060230.010536
2004-02-17,0,55124244297.13458
2004-03-16,0,65724591802.54459
2004-04-16,0,28915749895.968628
2004-05-16,0,114709975079.93497
2004-06-16,0,85835880860.59624
2004-07-16,0,58351350056.836006
2004-08-16,0,-72860310112.65417
2004-09-16,0,-207569032007.13013
2004-10-16,0,-183971746895.10287
2004-11-16,0,-85263704855.89774
2004-12-16,0,-19532434589.827568
2005-01-16,0,87477836591.03322
2005-02-15,0,133260202476.54437
2005-03-16,0,52546362944.30892
2005-04-16,0,79921606651.19637
2005-05-16,0,53781353578.56909
2005-06-16,0,32372824576.445568
2005-07-16,0,-49333562865.3306
2005-08-16,0,-157312263086.35028
2005-09-16,0,-180545981445.57977
2005-10-16,0,-143499261341.23972
2005-11-16,0,-97548962335.32748
2005-12-16,0,-13464979557.19114
2006-01-16,0,54429659609.63188
2006-02-15,0,67157178195.506
2006-03-16,0,139985919377.11893
2006-04-16,0,249186034505.9562
2006-05-16,0,77518351606.03328
2006-06-16,0,-1371754862.7129326
2006-07-16,0,-75840097404.29607
2006-08-16,0,-159367408574.88266
2006-09-16,0,-235447754035.8891
2006-10-16,0,-193592466683.56027
2006-11-16,0,-131591751290.84772
2006-12-16,0,-6876215740.820642
2007-01-16,0,184464139993.13123
2007-02-14,0,354303054820.6311
2007-03-16,0,331379661751.3805
2007-04-16,0,248671129144.73105
2007-05-16,0,215815036687.7218
2007-06-16,0,105239236221.56726
2007-07-16,0,4364763106.249908
2007-08-16,0,-72099814572.74136
2007-09-16,0,-215786423647.91895
2007-10-16,0,-235573501407.5801
2007-11-16,0,-130968965255.46185
2007-12-16,0,-80312210655.45044
2008-01-16,0,-10124104032.65217
2008-02-15,0,156344053636.55774
2008-03-16,0,259073461317.1641
2008-04-16,0,246308541682.0999
2008-05-16,0,232720017539.6398
2008-06-16,0,120821502370.78534
2008-07-16,0,-6792971528.510334
2008-08-16,0,-60916460794.23839
2008-09-16,0,-175951971801.80673
2008-10-16,0,-148985720148.03464
2008-11-16,0,-104536568587.422
2008-12-16,0,-140122288553.1288
2009-01-16,0,-80942158837.3122
2009-02-15,0,29691092097.848984
2009-03-16,0,55900454358.72443
2009-04-16,0,15313865448.8284
2009-05-16,0,-55006140813.21069
2009-06-16,0,-90393920521.64296
2009-07-16,0,-87445641890.18533
2009-08-16,0,-144424653817.77618
2009-09-16,0,-134482581282.98909
2009-10-16,0,-109070775477.47736
2009-11-16,0,-39362587806.37636
2009-12-16,0,115654960038.00336
2010-01-16,0,275063625361.4253
2010-02-15,0,308499712385.44543
2010-03-16,0,334168409308.4637
2010-04-16,0,285936516194.0792
2010-05-16,0,195412456104.36197
