time,WGS84,lwe_thickness
2002-04-18,0,214806228045.63138
2002-05-11,0,199448953486.78156
2002-08-17,0,-116562229495.58435
2002-09-16,0,-147377897188.8961
2002-10-17,0,-105625577072.45697
2002-11-16,0,-64840237294.94606
2002-12-17,0,-79908902996.7736
2003-01-17,0,-9273447823.312292
2003-02-15,0,17951717179.0499
2003-03-17,0,4648136223.698975
2003-04-16,0,14010392405.152222
2003-05-12,0,42464319114.820816
2003-07-17,0,-196990852030.86005
2003-08-17,0,-195609269742.46594
2003-09-16,0,-175696091921.36444
2003-10-17,0,-162986500561.0212
2003-11-16,0,-88654804373.4602
2003-12-17,0,-26413173544.97624
2004-01-08,0,25292542444.45341
2004-02-17,0,53072543219.61042
2004-03-17,0,65648036259.02374
2004-04-16,0,126461348174.42224
2004-05-17,0,140352270910.1823
2004-06-16,0,3841602653.082987
2004-07-17,0,-93575482385.44138
2004-08-17,0,-148642487170.56042
2004-09-16,0,-94817131119.29163
2004-10-17,0,-93361682185.05077
2004-11-16,0,-13061728134.598656
2004-12-17,0,30274090274.19788
2005-01-17,0,38171494007.72215
2005-02-15,0,44012035903.607735
2005-03-17,0,69414926089.39182
2005-04-16,0,87548695142.43478
2005-05-17,0,114231899613.70482
2005-06-16,0,-3773826415.423807
2005-07-17,0,-104690755107.04706
2005-08-17,0,-146496770688.27048
2005-09-16,0,-133242741194.46918
2005-10-17,0,-87823786120.7275
2005-11-16,0,-48949821444.51825
2005-12-17,0,10333599858.182291
2006-01-17,0,-1228347471.4138432
2006-02-15,0,44845539227.99402
2006-03-17,0,69851676671.2403
2006-04-16,0,79223036848.9922
2006-05-17,0,85207801292.42328
2006-06-16,0,5142098357.576157
2006-07-17,0,-105021399119.35947
2006-08-17,0,-125645002644.88275
2006-09-16,0,-128759375031.76291
2006-10-17,0,-113206127976.41681
2006-11-16,0,-9657086936.374687
2006-12-17,0,29371233173.754436
2007-01-17,0,86028392507.6084
2007-02-15,0,119720638596.22134
2007-03-17,0,142629829841.11658
2007-04-16,0,135532279800.94646
2007-05-17,0,124300188264.15706
2007-06-16,0,59676708237.142914
2007-07-17,0,-80332443584.62074
2007-08-17,0,-118920235278.63635
2007-09-16,0,-114941190818.064
2007-10-17,0,-114701257620.16449
2007-11-16,0,-79737842706.53015
2007-12-17,0,-13079430033.532852
2008-01-17,0,34864279805.945465
2008-02-16,0,32264645175.508064
2008-03-17,0,86610903351.20653
